[0.0, 'Formula de Compasso', '2/4']
[0.0, 'Rest', 'Parte_1', 0.25, 0, None]
[0.0, 'Rest', 'Parte_2', 2.0, 0, None]
[0.0, 'Rest', 'Parte_3', 2.0, 0, None]
[0.0, 'Rest', 'Parte_4', 1.0, 0, None]
[0.0, 'Rest', 'Parte_5', 2.0, 0, None]
[0.0, 'Rest', 'Parte_6', 2.0, 0, None]
[0.25, 'Note', 'Parte_1', 0.25, 62, None]
[0.5, 'Note', 'Parte_1', 0.25, 74, None]
[0.75, 'Note', 'Parte_1', 0.25, 70, None]
[1.0, 'Rest', 'Parte_1', 1.0, 0, None]
[1.0, 'Rest', 'Parte_4', 1.0, 0, None]
[2.0, 'Note', 'Parte_1', 0.25, 71, None]
[2.0, 'Rest', 'Parte_2', 0.75, 0, None]
[2.0, 'Rest', 'Parte_3', 0.5, 0, None]
[2.0, 'Rest', 'Parte_4', 0.5, 0, None]
[2.0, 'Rest', 'Parte_5', 0.75, 0, None]
[2.0, 'Rest', 'Parte_6', 0.5, 0, None]
[2.25, 'Note', 'Parte_1', 0.25, 66, None]
[2.5, 'Note', 'Parte_1', 0.75, 67, None]
[2.5, 'Rest', 'Parte_3', 0.5, 0, None]
[2.5, 'Note', 'Parte_4', 0.25, 43, None]
[2.5, 'Note', 'Parte_6', 0.5, 43, 'start']
[2.75, 'Rest', 'Parte_2', 1.25, 0, None]
[2.75, 'Note', 'Parte_4', 0.25, 47, None]
[2.75, 'Note', 'Parte_5', 0.25, 47, 'start']
[3.0, 'Rest', 'Parte_3', 1.0, 0, None]
[3.0, 'Note', 'Parte_4', 1.0, 50, None]
[3.0, 'Chord', 'Parte_5', 1.0, [43, 47], 'stop']
[3.0, 'Rest', 'Parte_6', 1.0, 0, None]
[3.25, 'Note', 'Parte_1', 0.25, 62, None]
[3.5, 'Note', 'Parte_1', 0.25, 74, None]
[3.75, 'Note', 'Parte_1', 0.25, 70, None]
[4.0, 'Note', 'Parte_1', 0.25, 71, None]
[4.0, 'Rest', 'Parte_2', 0.75, 0, None]
[4.0, 'Rest', 'Parte_3', 0.5, 0, None]
[4.0, 'Rest', 'Parte_4', 0.5, 0, None]
[4.0, 'Rest', 'Parte_5', 0.75, 0, None]
[4.0, 'Rest', 'Parte_6', 0.5, 0, None]
[4.25, 'Note', 'Parte_1', 0.25, 66, None]
[4.5, 'Note', 'Parte_1', 0.75, 67, None]
[4.5, 'Rest', 'Parte_3', 0.5, 0, None]
[4.5, 'Note', 'Parte_4', 0.25, 55, None]
[4.5, 'Note', 'Parte_6', 0.5, 55, 'start']
[4.75, 'Rest', 'Parte_2', 1.25, 0, None]
[4.75, 'Note', 'Parte_4', 0.25, 59, None]
[4.75, 'Note', 'Parte_5', 0.25, 59, 'start']
[5.0, 'Rest', 'Parte_3', 1.0, 0, None]
[5.0, 'Note', 'Parte_4', 1.0, 62, None]
[5.0, 'Chord', 'Parte_5', 1.0, [55, 59], 'stop']
[5.0, 'Rest', 'Parte_6', 1.0, 0, None]
[5.25, 'Note', 'Parte_1', 0.25, 64, None]
[5.5, 'Note', 'Parte_1', 0.25, 76, None]
[5.75, 'Note', 'Parte_1', 0.25, 71, None]
[6.0, 'Note', 'Parte_1', 0.25, 72, None]
[6.0, 'Rest', 'Parte_2', 0.75, 0, None]
[6.0, 'Rest', 'Parte_3', 0.5, 0, None]
[6.0, 'Rest', 'Parte_4', 0.5, 0, None]
[6.0, 'Rest', 'Parte_5', 0.75, 0, None]
[6.0, 'Rest', 'Parte_6', 0.5, 0, None]
[6.25, 'Note', 'Parte_1', 0.25, 68, None]
[6.5, 'Note', 'Parte_1', 0.75, 69, None]
[6.5, 'Rest', 'Parte_3', 0.5, 0, None]
[6.5, 'Note', 'Parte_4', 0.25, 43, None]
[6.5, 'Note', 'Parte_6', 0.5, 43, 'start']
[6.75, 'Rest', 'Parte_2', 1.25, 0, None]
[6.75, 'Note', 'Parte_4', 0.25, 48, None]
[6.75, 'Note', 'Parte_5', 0.25, 48, 'start']
[7.0, 'Rest', 'Parte_3', 1.0, 0, None]
[7.0, 'Note', 'Parte_4', 1.0, 52, None]
[7.0, 'Chord', 'Parte_5', 1.0, [43, 48], 'stop']
[7.0, 'Rest', 'Parte_6', 1.0, 0, None]
[7.25, 'Note', 'Parte_1', 0.25, 64, None]
[7.5, 'Note', 'Parte_1', 0.25, 76, None]
[7.75, 'Note', 'Parte_1', 0.25, 71, None]
[8.0, 'Note', 'Parte_1', 0.25, 72, None]
[8.0, 'Rest', 'Parte_2', 0.75, 0, None]
[8.0, 'Rest', 'Parte_3', 0.5, 0, None]
[8.0, 'Rest', 'Parte_4', 0.5, 0, None]
[8.0, 'Rest', 'Parte_5', 0.75, 0, None]
[8.0, 'Rest', 'Parte_6', 0.5, 0, None]
[8.25, 'Note', 'Parte_1', 0.25, 68, None]
[8.5, 'Note', 'Parte_1', 0.75, 69, None]
[8.5, 'Rest', 'Parte_3', 0.5, 0, None]
[8.5, 'Note', 'Parte_4', 0.25, 55, None]
[8.5, 'Note', 'Parte_6', 0.5, 55, 'start']
[8.75, 'Rest', 'Parte_2', 1.25, 0, None]
[8.75, 'Note', 'Parte_4', 0.25, 60, None]
[8.75, 'Note', 'Parte_5', 0.25, 60, 'start']
[9.0, 'Rest', 'Parte_3', 1.0, 0, None]
[9.0, 'Note', 'Parte_4', 1.0, 64, None]
[9.0, 'Chord', 'Parte_5', 1.0, [55, 60], 'stop']
[9.0, 'Rest', 'Parte_6', 1.0, 0, None]
[9.25, 'Note', 'Parte_1', 0.25, 69, None]
[9.5, 'Note', 'Parte_1', 0.25, 84, None]
