[0.0, 'Formula de Compasso', '3/4']
[0.0, 'Note', 'Parte_1', 0.5, 68, None]
[0.0, 'Rest', 'Parte_2', 1.0, 0, None]
[0.0, 'Rest', 'Parte_3', 3.0, 0, None]
[0.0, 'Rest', 'Parte_4', 1.0, 0, None]
[0.0, 'Rest', 'Parte_5', 3.0, 0, None]
[0.0, 'Rest', 'Parte_6', 3.0, 0, None]
[0.5, 'Note', 'Parte_1', 0.5, 70, None]
[1.0, 'Rest', 'Parte_1', 2.0, 0, None]
[1.0, 'Rest', 'Parte_2', 2.0, 0, None]
[1.0, 'Rest', 'Parte_4', 2.0, 0, None]
[3.0, 'Note', 'Parte_1', 2.0, 72, None]
[3.0, 'Note', 'Parte_2', 3.0, 68, None]
[3.0, 'Rest', 'Parte_3', 3.0, 0, None]
[3.0, 'Note', 'Parte_4', 3.0, 65, None]
[3.0, 'Rest', 'Parte_5', 3.0, 0, None]
[3.0, 'Rest', 'Parte_6', 3.0, 0, None]
[5.0, 'Note', 'Parte_1', 1.0, 74, None]
[6.0, 'Note', 'Parte_1', 3.0, 75, 'start']
[6.0, 'Note', 'Parte_2', 2.0, 67, None]
[6.0, 'Rest', 'Parte_3', 3.0, 0, None]
[6.0, 'Note', 'Parte_4', 1.0, 63, None]
[6.0, 'Rest', 'Parte_5', 3.0, 0, None]
[6.0, 'Rest', 'Parte_6', 3.0, 0, None]
[7.0, 'Rest', 'Parte_4', 1.0, 0, None]
[8.0, 'Note', 'Parte_2', 1.0, 70, None]
[8.0, 'Note', 'Parte_4', 1.0, 55, None]
[9.0, 'Note', 'Parte_1', 1.0, 75, 'stop']
[9.0, 'Note', 'Parte_2', 1.0, 72, None]
[9.0, 'Rest', 'Parte_3', 3.0, 0, None]
[9.0, 'Note', 'Parte_4', 1.0, 56, None]
[9.0, 'Rest', 'Parte_5', 3.0, 0, None]
[9.0, 'Rest', 'Parte_6', 3.0, 0, None]
[10.0, 'Note', 'Parte_1', 1.0, 77, None]
[10.0, 'Note', 'Parte_2', 1.0, 68, None]
[10.0, 'Note', 'Parte_4', 1.0, 53, None]
[11.0, 'Note', 'Parte_1', 1.0, 74, None]
[11.0, 'Note', 'Parte_2', 1.0, 68, None]
[11.0, 'Note', 'Parte_4', 1.0, 58, None]
