[0.0, 'Tempo', 106.0]
[0.0, 'Formula de Compasso', '2/4']
[0.0, 'Note', 'Parte_1', 0.25, 75, None]
[0.0, 'Rest', 'Parte_2', 2.0, 0, None]
[0.0, 'Rest', 'Parte_3', 1.0, 0, None]
[0.0, 'Rest', 'Parte_4', 2.0, 0, None]
[0.0, 'Rest', 'Parte_5', 2.0, 0, None]
[0.25, 'Note', 'Parte_1', 0.25, 72, None]
[0.5, 'Tempo', 112.0]
[0.5, 'Note', 'Parte_1', 0.25, 77, None]
[0.75, 'Note', 'Parte_1', 0.25, 69, None]
[1.0, 'Tempo', 116.0]
[1.0, 'Rest', 'Parte_1', 1.0, 0, None]
[1.0, 'Rest', 'Parte_3', 1.0, 0, None]
[2.0, 'Tempo', 120.0]
[2.0, 'Note', 'Parte_1', 0.25, 73, None]
[2.0, 'Rest', 'Parte_2', 2.0, 0, None]
[2.0, 'Rest', 'Parte_3', 2.0, 0, None]
[2.0, 'Rest', 'Parte_4', 2.0, 0, None]
[2.0, 'Rest', 'Parte_5', 2.0, 0, None]
[2.25, 'Note', 'Parte_1', 0.25, 70, None]
[2.5, 'Note', 'Parte_1', 0.25, 75, None]
[2.75, 'Note', 'Parte_1', 0.25, 67, None]
[3.0, 'Tempo', 125.0]
[3.0, 'Note', 'Parte_1', 0.25, 72, None]
[3.25, 'Note', 'Parte_1', 0.25, 68, None]
[3.5, 'Note', 'Parte_1', 0.25, 73, None]
[3.75, 'Note', 'Parte_1', 0.25, 65, None]
[4.0, 'Note', 'Parte_1', 0.25, 70, None]
[4.0, 'Rest', 'Parte_2', 2.0, 0, None]
[4.0, 'Rest', 'Parte_3', 2.0, 0, None]
[4.0, 'Rest', 'Parte_4', 2.0, 0, None]
[4.0, 'Rest', 'Parte_5', 2.0, 0, None]
[4.25, 'Note', 'Parte_1', 0.25, 67, None]
[4.5, 'Note', 'Parte_1', 0.25, 72, None]
[4.75, 'Note', 'Parte_1', 0.25, 64, None]
[5.0, 'Note', 'Parte_1', 0.25, 68, None]
[5.25, 'Note', 'Parte_1', 0.25, 65, None]
[5.5, 'Note', 'Parte_1', 0.25, 70, None]
[5.75, 'Note', 'Parte_1', 0.25, 62, None]
[6.0, 'Note', 'Parte_1', 0.25, 67, None]
[6.0, 'Rest', 'Parte_2', 2.0, 0, None]
[6.0, 'Rest', 'Parte_3', 1.0, 0, None]
[6.0, 'Note', 'Parte_4', 2.0, 51, 'start']
