[0.0, 'Tempo', 120.0]
[0.0, 'Formula de Compasso', '6/8']
[0.0, 'Rest', 'Parte_1', 3.0, 0, None]
[0.0, 'Rest', 'Parte_2', 3.0, 0, None]
[0.0, 'Rest', 'Parte_3', 2.0, 0, None]
[0.0, 'Rest', 'Parte_4', 3.0, 0, None]
[2.0, 'Rest', 'Parte_3', 0.5, 0, None]
[2.5, 'Note', 'Parte_3', 0.5, 45, None]
[3.0, 'Rest', 'Parte_1', 3.0, 0, None]
[3.0, 'Rest', 'Parte_2', 3.0, 0, None]
[3.0, 'Note', 'Parte_3', 1.0, 38, None]
[3.0, 'Rest', 'Parte_4', 3.0, 0, None]
[4.0, 'Note', 'Parte_3', 0.5, 45, None]
[4.5, 'Note', 'Parte_3', 1.0, 38, None]
[5.5, 'Note', 'Parte_3', 0.5, 47, None]
[6.0, 'Rest', 'Parte_1', 1.0, 0, None]
[6.0, 'Rest', 'Parte_2', 3.0, 0, None]
[6.0, 'Note', 'Parte_3', 1.0, 38, None]
[6.0, 'Rest', 'Parte_4', 3.0, 0, None]
[7.0, 'Rest', 'Parte_1', 0.5, 0, None]
[7.0, 'Note', 'Parte_3', 0.5, 49, None]
[7.5, 'Rest', 'Parte_1', 0.5, 0, None]
[7.5, 'Note', 'Parte_3', 1.0, 38, None]
[8.0, 'Rest', 'Parte_1', 0.5, 0, None]
[8.5, 'Note', 'Parte_1', 0.5, 81, 'start']
[8.5, 'Note', 'Parte_3', 0.5, 50, None]
[9.0, 'Note', 'Parte_1', 0.5, 81, 'stop']
[9.0, 'Note', 'Parte_2', 1.5, 69, None]
[9.0, 'Note', 'Parte_3', 1.0, 38, None]
[9.0, 'Rest', 'Parte_4', 3.0, 0, None]
[9.5, 'Note', 'Parte_1', 0.5, 79, None]
[10.0, 'Note', 'Parte_1', 0.5, 78, None]
[10.0, 'Note', 'Parte_3', 0.5, 42, None]
[10.5, 'Note', 'Parte_1', 0.5, 76, None]
[10.5, 'Note', 'Parte_2', 1.5, 71, None]
[10.5, 'Note', 'Parte_3', 1.0, 38, None]
[11.0, 'Note', 'Parte_1', 0.5, 78, None]
[11.5, 'Note', 'Parte_1', 0.5, 74, None]
[11.5, 'Note', 'Parte_3', 0.5, 43, None]
[12.0, 'Note', 'Parte_1', 0.5, 71, None]
[12.0, 'Note', 'Parte_2', 1.0, 67, None]
[12.0, 'Note', 'Parte_3', 1.0, 38, None]
[12.0, 'Rest', 'Parte_4', 3.0, 0, None]
[12.5, 'Note', 'Parte_1', 0.5, 76, None]
[13.0, 'Note', 'Parte_1', 0.5, 73, None]
[13.0, 'Note', 'Parte_2', 0.5, 67, None]
[13.0, 'Note', 'Parte_3', 0.5, 45, None]
[13.5, 'Note', 'Parte_1', 0.5, 74, None]
[13.5, 'Note', 'Parte_2', 0.5, 66, None]
[13.5, 'Note', 'Parte_3', 1.0, 38, None]
[14.0, 'Rest', 'Parte_1', 0.5, 0, None]
[14.0, 'Rest', 'Parte_2', 0.5, 0, None]
[14.5, 'Rest', 'Parte_1', 0.5, 0, None]
[14.5, 'Rest', 'Parte_2', 0.5, 0, None]
[14.5, 'Note', 'Parte_3', 0.5, 45, None]
[15.0, 'Rest', 'Parte_1', 3.0, 0, None]
[15.0, 'Rest', 'Parte_2', 3.0, 0, None]
[15.0, 'Note', 'Parte_3', 1.0, 38, None]
[15.0, 'Rest', 'Parte_4', 3.0, 0, None]
[16.0, 'Note', 'Parte_3', 0.5, 45, None]
[16.5, 'Note', 'Parte_3', 1.0, 38, None]
[17.5, 'Note', 'Parte_3', 0.5, 47, None]
[18.0, 'Rest', 'Parte_1', 1.0, 0, None]
[18.0, 'Rest', 'Parte_2', 3.0, 0, None]
[18.0, 'Note', 'Parte_3', 1.0, 38, None]
[18.0, 'Rest', 'Parte_4', 3.0, 0, None]
[19.0, 'Rest', 'Parte_1', 0.5, 0, None]
[19.0, 'Note', 'Parte_3', 0.5, 49, None]
[19.5, 'Rest', 'Parte_1', 0.5, 0, None]
[19.5, 'Note', 'Parte_3', 1.0, 38, None]
[20.0, 'Rest', 'Parte_1', 0.5, 0, None]
[20.5, 'Note', 'Parte_1', 0.5, 81, 'start']
[20.5, 'Note', 'Parte_3', 0.5, 50, None]
[21.0, 'Note', 'Parte_1', 0.5, 81, 'stop']
[21.0, 'Note', 'Parte_2', 1.5, 69, None]
[21.0, 'Note', 'Parte_3', 1.0, 38, None]
[21.0, 'Rest', 'Parte_4', 3.0, 0, None]
[21.5, 'Note', 'Parte_1', 0.5, 79, None]
[22.0, 'Note', 'Parte_1', 0.5, 78, None]
[22.0, 'Note', 'Parte_3', 0.5, 42, None]
[22.5, 'Note', 'Parte_1', 0.5, 76, None]
[22.5, 'Note', 'Parte_2', 1.5, 71, None]
[22.5, 'Note', 'Parte_3', 1.0, 38, None]
