[0.0, 'Tempo', 290.0]
[0.0, 'Formula de Compasso', '6/8']
[0.0, 'Rest', 'Parte_1', 0.5, 0, None]
[0.0, 'Rest', 'Parte_2', 3.0, 0, None]
[0.0, 'Note', 'Parte_3', 0.5, 51, None]
[0.0, 'Rest', 'Parte_4', 3.0, 0, None]
[0.0, 'Rest', 'Parte_5', 3.0, 0, None]
[0.5, 'Rest', 'Parte_1', 0.5, 0, None]
[0.5, 'Note', 'Parte_3', 0.5, 55, None]
[1.0, 'Rest', 'Parte_1', 2.0, 0, None]
[1.0, 'Rest', 'Parte_3', 2.0, 0, None]
[3.0, 'Rest', 'Parte_1', 3.0, 0, None]
[3.0, 'Rest', 'Parte_2', 3.0, 0, None]
[3.0, 'Note', 'Parte_3', 0.5, 46, None]
[3.0, 'Rest', 'Parte_4', 3.0, 0, None]
[3.0, 'Rest', 'Parte_5', 3.0, 0, None]
[3.5, 'Note', 'Parte_3', 0.5, 51, None]
[4.0, 'Note', 'Parte_3', 0.5, 55, None]
[4.5, 'Note', 'Parte_3', 0.5, 50, None]
[5.0, 'Note', 'Parte_3', 0.5, 51, None]
[5.5, 'Note', 'Parte_3', 0.5, 55, None]
[6.0, 'Rest', 'Parte_1', 1.0, 0, None]
[6.0, 'Rest', 'Parte_2', 3.0, 0, None]
[6.0, 'Note', 'Parte_3', 0.5, 46, None]
[6.0, 'Rest', 'Parte_4', 3.0, 0, None]
[6.0, 'Rest', 'Parte_5', 3.0, 0, None]
[6.5, 'Note', 'Parte_3', 0.5, 51, None]
[7.0, 'Rest', 'Parte_1', 0.5, 0, None]
[7.0, 'Note', 'Parte_3', 0.5, 55, None]
[7.5, 'Rest', 'Parte_1', 1.0, 0, None]
[7.5, 'Note', 'Parte_3', 0.5, 50, None]
[8.0, 'Note', 'Parte_3', 0.5, 51, None]
[8.5, 'Note', 'Parte_1', 0.5, 82, None]
[8.5, 'Note', 'Parte_3', 0.5, 55, None]
[9.0, 'Note', 'Parte_1', 1.0, 82, None]
[9.0, 'Rest', 'Parte_2', 3.0, 0, None]
[9.0, 'Note', 'Parte_3', 0.5, 46, None]
[9.0, 'Rest', 'Parte_4', 3.0, 0, None]
[9.0, 'Rest', 'Parte_5', 3.0, 0, None]
[9.5, 'Note', 'Parte_3', 0.5, 53, None]
[10.0, 'Note', 'Parte_1', 0.5, 80, None]
[10.0, 'Note', 'Parte_3', 0.5, 56, None]
[10.5, 'Note', 'Parte_1', 1.0, 77, None]
[10.5, 'Note', 'Parte_3', 0.5, 52, None]
[11.0, 'Note', 'Parte_3', 0.5, 53, None]
[11.5, 'Note', 'Parte_1', 0.5, 74, None]
[11.5, 'Note', 'Parte_3', 0.5, 56, None]
[12.0, 'Note', 'Parte_1', 1.0, 75, None]
[12.0, 'Rest', 'Parte_2', 3.0, 0, None]
[12.0, 'Note', 'Parte_3', 0.5, 46, None]
[12.0, 'Rest', 'Parte_4', 3.0, 0, None]
[12.0, 'Rest', 'Parte_5', 3.0, 0, None]
[12.5, 'Note', 'Parte_3', 0.5, 51, None]
[13.0, 'Rest', 'Parte_1', 0.5, 0, None]
[13.0, 'Note', 'Parte_3', 0.5, 55, None]
[13.5, 'Rest', 'Parte_1', 1.0, 0, None]
[13.5, 'Note', 'Parte_3', 0.5, 50, None]
[14.0, 'Note', 'Parte_3', 0.5, 51, None]
[14.5, 'Note', 'Parte_1', 0.5, 70, None]
[14.5, 'Note', 'Parte_3', 0.5, 55, None]
[15.0, 'Note', 'Parte_1', 1.0, 70, None]
[15.0, 'Rest', 'Parte_2', 3.0, 0, None]
[15.0, 'Note', 'Parte_3', 0.5, 46, None]
