[0.0, 'Formula de Compasso', '2/4']
[0.0, 'Note', 'Parte_1', 1.0, 60, None]
[0.0, 'Note', 'Parte_2', 0.25, 56, None]
[0.0, 'Note', 'Parte_3', 1.0, 44, None]
[0.0, 'Rest', 'Parte_4', 2.0, 0, None]
[0.25, 'Note', 'Parte_2', 0.25, 51, None]
[0.5, 'Note', 'Parte_2', 0.25, 56, None]
[0.75, 'Note', 'Parte_2', 0.25, 51, None]
[1.0, 'Note', 'Parte_1', 1.0, 58, None]
[1.0, 'Note', 'Parte_2', 0.25, 55, None]
[1.0, 'Note', 'Parte_3', 1.0, 49, None]
[1.25, 'Note', 'Parte_2', 0.25, 51, None]
[1.5, 'Note', 'Parte_2', 0.25, 55, None]
[1.75, 'Note', 'Parte_2', 0.25, 51, None]
[2.0, 'Note', 'Parte_1', 1.5, 63, None]
[2.0, 'Note', 'Parte_2', 0.25, 56, None]
[2.0, 'Note', 'Parte_3', 1.0, 48, None]
[2.0, 'Rest', 'Parte_4', 2.0, 0, None]
[2.25, 'Note', 'Parte_2', 0.25, 51, None]
[2.5, 'Note', 'Parte_2', 0.25, 56, None]
[2.75, 'Note', 'Parte_2', 0.25, 51, None]
[3.0, 'Note', 'Parte_2', 0.25, 58, None]
[3.0, 'Note', 'Parte_3', 1.0, 43, None]
[3.25, 'Note', 'Parte_2', 0.25, 51, None]
[3.5, 'Note', 'Parte_1', 0.5, 61, None]
[3.5, 'Note', 'Parte_2', 0.25, 58, None]
[3.75, 'Note', 'Parte_2', 0.25, 51, None]
[4.0, 'Note', 'Parte_1', 0.5, 60, None]
[4.0, 'Note', 'Parte_2', 0.25, 56, None]
[4.0, 'Note', 'Parte_3', 0.5, 44, None]
[4.0, 'Rest', 'Parte_4', 2.0, 0, None]
[4.25, 'Note', 'Parte_2', 0.25, 51, None]
[4.5, 'Note', 'Parte_1', 0.5, 63, None]
[4.5, 'Note', 'Parte_2', 0.25, 58, None]
[4.5, 'Note', 'Parte_3', 0.5, 43, None]
[4.75, 'Note', 'Parte_2', 0.25, 51, None]
[5.0, 'Note', 'Parte_1', 0.5, 68, None]
[5.0, 'Note', 'Parte_2', 0.25, 60, None]
[5.0, 'Note', 'Parte_3', 0.5, 41, None]
[5.25, 'Note', 'Parte_2', 0.25, 56, None]
[5.5, 'Note', 'Parte_1', 0.5, 70, None]
[5.5, 'Note', 'Parte_2', 0.25, 62, None]
[5.5, 'Note', 'Parte_3', 0.5, 53, None]
[5.75, 'Note', 'Parte_2', 0.25, 56, None]
[6.0, 'Note', 'Parte_1', 1.5, 63, None]
[6.0, 'Note', 'Parte_2', 0.25, 55, None]
