[0.0, 'Tempo', 180.0]
[0.0, 'Formula de Compasso', '2/2']
[0.0, 'Rest', 'Parte_1', 2.0, 0, None]
[0.0, 'Rest', 'Parte_2', 4.0, 0, None]
[0.0, 'Rest', 'Parte_3', 4.0, 0, None]
[0.0, 'Rest', 'Parte_4', 4.0, 0, None]
[2.0, 'Rest', 'Parte_1', 0.5, 0, None]
[2.5, 'Note', 'Parte_1', 0.5, 67, None]
[3.0, 'Note', 'Parte_1', 0.5, 72, None]
[3.5, 'Note', 'Parte_1', 0.5, 74, None]
[4.0, 'Note', 'Parte_1', 1.5, 75, None]
[4.0, 'Rest', 'Parte_2', 4.0, 0, None]
[4.0, 'Note', 'Parte_3', 0.5, 48, None]
[4.0, 'Rest', 'Parte_4', 4.0, 0, None]
[4.5, 'Note', 'Parte_3', 0.5, 51, None]
[5.0, 'Note', 'Parte_3', 0.5, 55, None]
[5.5, 'Note', 'Parte_1', 0.5, 77, None]
[5.5, 'Note', 'Parte_3', 0.5, 60, None]
[6.0, 'Note', 'Parte_1', 1.5, 74, None]
[6.0, 'Note', 'Parte_3', 0.5, 48, None]
[6.5, 'Note', 'Parte_3', 0.5, 53, None]
[7.0, 'Note', 'Parte_3', 0.5, 55, None]
[7.5, 'Note', 'Parte_1', 0.5, 75, None]
[7.5, 'Note', 'Parte_3', 0.5, 59, None]
[8.0, 'Note', 'Parte_1', 2.0, 72, None]
[8.0, 'Rest', 'Parte_2', 4.0, 0, None]
[8.0, 'Note', 'Parte_3', 0.5, 48, None]
[8.0, 'Rest', 'Parte_4', 4.0, 0, None]
[8.5, 'Note', 'Parte_3', 0.5, 51, None]
[9.0, 'Note', 'Parte_3', 0.5, 55, None]
[9.5, 'Note', 'Parte_3', 0.5, 60, None]
[10.0, 'Note', 'Parte_1', 0.0, 74, None]
[10.0, 'Note', 'Parte_1', 0.5, 72, None]
[10.0, 'Note', 'Parte_3', 0.5, 63, None]
[10.5, 'Note', 'Parte_1', 0.5, 71, None]
[10.5, 'Note', 'Parte_3', 0.5, 67, None]
[11.0, 'Note', 'Parte_1', 0.5, 72, None]
[11.0, 'Note', 'Parte_3', 0.5, 63, None]
[11.5, 'Note', 'Parte_1', 0.5, 74, None]
[11.5, 'Note', 'Parte_3', 0.5, 62, None]
[12.0, 'Note', 'Parte_1', 0.0, 77, None]
[12.0, 'Note', 'Parte_1', 0.5, 75, None]
[12.0, 'Rest', 'Parte_2', 4.0, 0, None]
[12.0, 'Note', 'Parte_3', 0.5, 60, None]
