r,3.0,0.0
53,1/3,3.0
56,1/3,10/3
60,1/3,11/3
53,1/3,4.0
56,1/3,13/3
60,1/3,14/3
53,1/3,5.0
56,1/3,16/3
60,1/3,17/3
53,1/3,6.0
58,1/3,19/3
61,1/3,20/3
53,1/3,7.0
60,1/3,22/3
56,1/3,23/3
53,1/3,8.0
48,1/3,25/3
44,1/3,26/3
41,1/3,9.0
44,1/3,28/3
48,1/3,29/3
40,1/3,10.0
43,1/3,31/3
48,1/3,32/3
41,1/3,11.0
44,1/3,34/3
48,1/3,35/3
53,1/3,12.0
56,1/3,37/3
60,1/3,38/3
53,1/3,13.0
56,1/3,40/3
60,1/3,41/3
53,1/3,14.0
58,1/3,43/3
61,1/3,44/3
53,1/3,15.0
60,1/3,46/3
56,1/3,47/3
53,1/3,16.0
48,1/3,49/3
44,1/3,50/3
41,1/3,17.0
44,1/3,52/3
48,1/3,53/3
40,1/3,18.0
43,1/3,55/3
48,1/3,56/3
41,1/3,19.0
44,1/3,58/3
48,1/3,59/3
53,1/3,20.0
r,1.0,20.0
56,1/3,61/3
60,1/3,62/3
61,1.0,21.0
55,2.0,21.0
58,1.0,22.0
56,1.0,23.0
60,1.0,23.0
r,1.0,23.0
r,1.0,24.0
r,1.0,24.0
56,1.0,24.0
60,1.0,24.0
61,1.0,25.0
55,2.0,25.0
58,1.0,26.0
56,1.0,27.0
60,1.0,27.0
r,1.0,27.0
r,1.0,28.0
r,1.0,28.0
56,1.0,28.0
60,1.0,28.0
61,1.0,29.0
55,2.0,29.0
58,1.0,30.0
56,1.0,31.0
60,1.0,31.0
r,1.0,31.0
52,1.0,32.0
55,1.0,32.0
53,1.0,33.0
56,1.0,33.0
49,1.0,34.0
53,1.0,34.0
48,0.5,35.0
52,0.5,35.0
r,0.5,35.5
60,0.5,36.0
r,1.0,36.0
r,0.5,36.5
70,1.0,37.0
64,2.0,37.0
67,1.0,38.0
65,1.0,39.0
68,1.0,39.0
r,1.0,39.0
r,1.0,40.0
r,1.0,40.0
65,1.0,40.0
68,1.0,40.0
70,1.0,41.0
64,2.0,41.0
67,1.0,42.0
65,1.0,43.0
68,1.0,43.0
r,1.0,43.0
r,1.0,44.0
r,1.0,44.0
65,1.0,44.0
68,1.0,44.0
58,1.0,45.0
52,2.0,45.0
55,1.0,46.0
53,1.0,47.0
56,1.0,47.0
r,1.0,47.0
53,2.0,48.0
56,2.0,48.0
54,1.0,50.0
57,1.0,50.0
55,1/3,51.0
59,1/3,154/3
62,1/3,155/3
55,1/3,52.0
59,1/3,157/3
62,1/3,158/3
55,1/3,53.0
59,1/3,160/3
62,1/3,161/3
55,1/3,54.0
60,1/3,163/3
63,1/3,164/3
55,1/3,55.0
62,1/3,166/3
59,1/3,167/3
55,1/3,56.0
50,1/3,169/3
47,1/3,170/3
43,1/3,57.0
47,1/3,172/3
50,1/3,173/3
43,1/3,58.0
47,1/3,175/3
50,1/3,176/3
43,1/3,59.0
47,1/3,178/3
50,1/3,179/3
55,1/3,60.0
59,1/3,181/3
62,1/3,182/3
55,1/3,61.0
59,1/3,184/3
62,1/3,185/3
55,1/3,62.0
60,1/3,187/3
63,1/3,188/3
55,1/3,63.0
62,1/3,190/3
59,1/3,191/3
55,1/3,64.0
50,1/3,193/3
47,1/3,194/3
43,1/3,65.0
47,1/3,196/3
50,1/3,197/3
43,1/3,66.0
47,1/3,199/3
50,1/3,200/3
43,1/3,67.0
47,1/3,202/3
50,1/3,203/3
55,1/3,68.0
50,1/3,205/3
47,1/3,206/3
43,1/3,69.0
47,1/3,208/3
50,1/3,209/3
43,1/3,70.0
47,1/3,211/3
50,1/3,212/3
43,1/3,71.0
47,1/3,214/3
50,1/3,215/3
55,1/3,72.0
50,1/3,217/3
47,1/3,218/3
43,1/3,73.0
47,1/3,220/3
50,1/3,221/3
43,1/3,74.0
47,1/3,223/3
50,1/3,224/3
43,1/3,75.0
47,1/3,226/3
50,1/3,227/3
55,1/3,76.0
50,1/3,229/3
47,1/3,230/3
43,1/3,77.0
47,1/3,232/3
50,1/3,233/3
55,1/3,78.0
50,1/3,235/3
47,1/3,236/3
43,1.0,79.0
r,4.0,80.0
r,4/3,84.0
56,1/3,256/3
55,1/3,257/3
53,1/3,86.0
51,1/3,259/3
50,1/3,260/3
48,1.0,87.0
56,1.0,88.0
55,1.0,89.0
54,1.0,90.0
55,1.0,91.0
56,1.0,92.0
55,1.0,93.0
54,1.0,94.0
55,1/3,95.0
60,1/3,286/3
63,1/3,287/3
56,1/3,96.0
60,1/3,289/3
63,1/3,290/3
55,1/3,97.0
60,1/3,292/3
63,1/3,293/3
54,1/3,98.0
60,1/3,295/3
63,1/3,296/3
55,1/3,99.0
60,1/3,298/3
63,1/3,299/3
56,1/3,100.0
60,1/3,301/3
63,1/3,302/3
55,1/3,101.0
60,1/3,304/3
63,1/3,305/3
54,1/3,102.0
60,1/3,307/3
63,1/3,308/3
55,1/3,103.0
60,1/3,310/3
63,1/3,311/3
56,0.5,104.0
68,0.5,104.5
53,0.5,105.0
65,0.5,105.5
55,0.5,106.0
67,0.5,106.5
52,0.5,107.0
64,0.5,107.5
53,0.5,108.0
65,0.5,108.5
47,0.5,109.0
59,0.5,109.5
48,0.5,110.0
60,0.5,110.5
38,0.5,111.0
50,0.5,111.5
39,0.5,112.0
51,0.5,112.5
41,0.5,113.0
53,0.5,113.5
42,0.5,114.0
54,0.5,114.5
43,0.5,115.0
55,0.5,115.5
43,0.5,116.0
55,0.5,116.5
43,0.5,117.0
55,0.5,117.5
43,0.5,118.0
55,0.5,118.5
48,0.5,119.0
r,0.5,119.5
56,0.5,120.0
60,0.5,120.5
53,0.5,121.0
56,0.5,121.5
55,0.5,122.0
58,0.5,122.5
52,0.5,123.0
55,0.5,123.5
53,0.5,124.0
56,0.5,124.5
47,0.5,125.0
50,0.5,125.5
48,0.5,126.0
51,0.5,126.5
38,1.0,127.0
39,1.0,128.0
41,1.0,129.0
42,1.0,130.0
31,0.5,131.0
43,0.5,131.5
31,0.5,132.0
43,0.5,132.5
31,0.5,133.0
43,0.5,133.5
31,0.5,134.0
43,0.5,134.5
36,1/3,135.0
43,1/3,406/3
48,1/3,407/3
36,1/3,136.0
43,1/3,409/3
48,1/3,410/3
36,1/3,137.0
43,1/3,412/3
48,1/3,413/3
36,1/3,138.0
43,1/3,415/3
48,1/3,416/3
38,1/3,139.0
41,1/3,418/3
46,1/3,419/3
38,1/3,140.0
41,1/3,421/3
46,1/3,422/3
38,1/3,141.0
41,1/3,424/3
46,1/3,425/3
38,1/3,142.0
41,1/3,427/3
46,1/3,428/3
39,1/3,143.0
43,1/3,430/3
46,1/3,431/3
39,1/3,144.0
43,1/3,433/3
46,1/3,434/3
40,1/3,145.0
43,1/3,436/3
48,1/3,437/3
40,1/3,146.0
43,1/3,439/3
48,1/3,440/3
41,1/3,147.0
44,1/3,442/3
48,1/3,443/3
41,1/3,148.0
44,1/3,445/3
48,1/3,446/3
41,1/3,149.0
44,1/3,448/3
50,1/3,449/3
41,1/3,150.0
44,1/3,451/3
50,1/3,452/3
43,1/3,151.0
46,1/3,454/3
51,1/3,455/3
43,1/3,152.0
46,1/3,457/3
51,1/3,458/3
43,1/3,153.0
46,1/3,460/3
52,1/3,461/3
43,1/3,154.0
46,1/3,463/3
52,1/3,464/3
44,1/3,155.0
48,1/3,466/3
53,1/3,467/3
44,1/3,156.0
48,1/3,469/3
53,1/3,470/3
44,1/3,157.0
48,1/3,472/3
54,1/3,473/3
44,1/3,158.0
48,1/3,475/3
54,1/3,476/3
43,1/3,159.0
48,1/3,478/3
51,1/3,479/3
43,1/3,160.0
48,1/3,481/3
51,1/3,482/3
43,1/3,161.0
48,1/3,484/3
51,1/3,485/3
43,1/3,162.0
48,1/3,487/3
51,1/3,488/3
43,1/3,163.0
47,1/3,490/3
50,1/3,491/3
43,1/3,164.0
47,1/3,493/3
50,1/3,494/3
43,1/3,165.0
47,1/3,496/3
50,1/3,497/3
43,1/3,166.0
47,1/3,499/3
50,1/3,500/3
36,1/3,167.0
43,1/3,502/3
48,1/3,503/3
36,1/3,168.0
43,1/3,505/3
48,1/3,506/3
36,1/3,169.0
43,1/3,508/3
48,1/3,509/3
36,1/3,170.0
43,1/3,511/3
48,1/3,512/3
38,1/3,171.0
41,1/3,514/3
46,1/3,515/3
38,1/3,172.0
41,1/3,517/3
46,1/3,518/3
38,1/3,173.0
41,1/3,520/3
46,1/3,521/3
38,1/3,174.0
41,1/3,523/3
46,1/3,524/3
39,1/3,175.0
43,1/3,526/3
46,1/3,527/3
39,1/3,176.0
43,1/3,529/3
46,1/3,530/3
40,1/3,177.0
43,1/3,532/3
48,1/3,533/3
40,1/3,178.0
43,1/3,535/3
48,1/3,536/3
41,1/3,179.0
44,1/3,538/3
48,1/3,539/3
41,1/3,180.0
44,1/3,541/3
48,1/3,542/3
41,1/3,181.0
44,1/3,544/3
50,1/3,545/3
41,1/3,182.0
44,1/3,547/3
50,1/3,548/3
43,1/3,183.0
46,1/3,550/3
51,1/3,551/3
43,1/3,184.0
46,1/3,553/3
51,1/3,554/3
43,1/3,185.0
46,1/3,556/3
52,1/3,557/3
43,1/3,186.0
46,1/3,559/3
52,1/3,560/3
44,1/3,187.0
48,1/3,562/3
53,1/3,563/3
44,1/3,188.0
48,1/3,565/3
53,1/3,566/3
44,1/3,189.0
48,1/3,568/3
54,1/3,569/3
44,1/3,190.0
48,1/3,571/3
54,1/3,572/3
43,1/3,191.0
48,1/3,574/3
51,1/3,575/3
43,1/3,192.0
48,1/3,577/3
51,1/3,578/3
43,1/3,193.0
48,1/3,580/3
51,1/3,581/3
43,1/3,194.0
48,1/3,583/3
51,1/3,584/3
43,1/3,195.0
47,1/3,586/3
50,1/3,587/3
43,1/3,196.0
47,1/3,589/3
50,1/3,590/3
43,1/3,197.0
47,1/3,592/3
50,1/3,593/3
43,1/3,198.0
47,1/3,595/3
50,1/3,596/3
48,1/3,199.0
51,1/3,598/3
55,1/3,599/3
60,1/3,200.0
63,1/3,601/3
67,1/3,602/3
60,1/3,201.0
63,1/3,604/3
67,1/3,605/3
60,1/3,202.0
65,1/3,607/3
68,1/3,608/3
60,1/3,203.0
67,1/3,610/3
63,1/3,611/3
60,1/3,204.0
55,1/3,613/3
51,1/3,614/3
48,1/3,205.0
51,1/3,616/3
55,1/3,617/3
43,1/3,206.0
50,1/3,619/3
55,1/3,620/3
48,1/3,207.0
51,1/3,622/3
55,1/3,623/3
60,1/3,208.0
63,1/3,625/3
67,1/3,626/3
60,1/3,209.0
63,1/3,628/3
67,1/3,629/3
60,1/3,210.0
65,1/3,631/3
68,1/3,632/3
60,1/3,211.0
67,1/3,634/3
63,1/3,635/3
60,1/3,212.0
55,1/3,637/3
51,1/3,638/3
48,1/3,213.0
51,1/3,640/3
55,1/3,641/3
43,1/3,214.0
50,1/3,643/3
55,1/3,644/3
48,1/3,215.0
51,1/3,646/3
55,1/3,647/3
60,1/3,216.0
55,1/3,649/3
51,1/3,650/3
48,1/3,217.0
51,1/3,652/3
55,1/3,653/3
43,1/3,218.0
50,1/3,655/3
55,1/3,656/3
48,1/3,219.0
51,1/3,658/3
55,1/3,659/3
60,1/3,220.0
55,1/3,661/3
51,1/3,662/3
48,1/3,221.0
51,1/3,664/3
55,1/3,665/3
60,1/3,222.0
55,1/3,667/3
51,1/3,668/3
48,1/3,223.0
51,1/3,670/3
55,1/3,671/3
60,1/3,224.0
55,1/3,673/3
51,1/3,674/3
48,1/3,225.0
52,1/3,676/3
55,1/3,677/3
60,1/3,226.0
55,1/3,679/3
52,1/3,680/3
53,1/3,227.0
56,1/3,682/3
60,1/3,683/3
53,1/3,228.0
56,1/3,685/3
60,1/3,686/3
53,1/3,229.0
56,1/3,688/3
60,1/3,689/3
53,1/3,230.0
58,1/3,691/3
61,1/3,692/3
53,1/3,231.0
60,1/3,694/3
56,1/3,695/3
53,1/3,232.0
48,1/3,697/3
44,1/3,698/3
41,1/3,233.0
44,1/3,700/3
48,1/3,701/3
40,1/3,234.0
43,1/3,703/3
48,1/3,704/3
41,1/3,235.0
44,1/3,706/3
48,1/3,707/3
53,1/3,236.0
56,1/3,709/3
60,1/3,710/3
53,1/3,237.0
56,1/3,712/3
60,1/3,713/3
53,1/3,238.0
58,1/3,715/3
61,1/3,716/3
53,1/3,239.0
60,1/3,718/3
56,1/3,719/3
53,1/3,240.0
48,1/3,721/3
44,1/3,722/3
41,1/3,241.0
44,1/3,724/3
48,1/3,725/3
40,1/3,242.0
43,1/3,727/3
48,1/3,728/3
41,1/3,243.0
44,1/3,730/3
48,1/3,731/3
53,1/3,244.0
r,1.0,244.0
56,1/3,733/3
60,1/3,734/3
61,1.0,245.0
55,2.0,245.0
58,1.0,246.0
56,1.0,247.0
60,1.0,247.0
r,1.0,247.0
r,1.0,248.0
r,1.0,248.0
56,1.0,248.0
60,1.0,248.0
61,1.0,249.0
55,2.0,249.0
58,1.0,250.0
56,1.0,251.0
60,1.0,251.0
r,1.0,251.0
r,1.0,252.0
r,1.0,252.0
56,1.0,252.0
60,1.0,252.0
61,1.0,253.0
55,2.0,253.0
58,1.0,254.0
56,1.0,255.0
60,1.0,255.0
r,1.0,255.0
52,1.0,256.0
55,1.0,256.0
53,1.0,257.0
56,1.0,257.0
49,1.0,258.0
53,1.0,258.0
48,0.5,259.0
52,0.5,259.0
r,0.5,259.5
60,0.5,260.0
r,1.0,260.0
r,0.5,260.5
70,1.0,261.0
64,2.0,261.0
67,1.0,262.0
65,1.0,263.0
68,1.0,263.0
r,1.0,263.0
r,1.0,264.0
r,1.0,264.0
65,1.0,264.0
68,1.0,264.0
70,1.0,265.0
64,2.0,265.0
67,1.0,266.0
65,1.0,267.0
68,1.0,267.0
r,1.0,267.0
r,1.0,268.0
r,1.0,268.0
65,1.0,268.0
68,1.0,268.0
58,1.0,269.0
52,2.0,269.0
55,1.0,270.0
53,1.0,271.0
56,1.0,271.0
r,1.0,271.0
53,2.0,272.0
56,2.0,272.0
54,1.0,274.0
57,1.0,274.0
55,1/3,275.0
59,1/3,826/3
62,1/3,827/3
55,1/3,276.0
59,1/3,829/3
62,1/3,830/3
55,1/3,277.0
59,1/3,832/3
62,1/3,833/3
55,1/3,278.0
60,1/3,835/3
63,1/3,836/3
55,1/3,279.0
62,1/3,838/3
59,1/3,839/3
55,1/3,280.0
50,1/3,841/3
47,1/3,842/3
43,1/3,281.0
47,1/3,844/3
50,1/3,845/3
43,1/3,282.0
47,1/3,847/3
50,1/3,848/3
43,1/3,283.0
47,1/3,850/3
50,1/3,851/3
55,1/3,284.0
59,1/3,853/3
62,1/3,854/3
55,1/3,285.0
59,1/3,856/3
62,1/3,857/3
55,1/3,286.0
60,1/3,859/3
63,1/3,860/3
55,1/3,287.0
62,1/3,862/3
59,1/3,863/3
55,1/3,288.0
50,1/3,865/3
47,1/3,866/3
43,1/3,289.0
47,1/3,868/3
50,1/3,869/3
43,1/3,290.0
47,1/3,871/3
50,1/3,872/3
43,1/3,291.0
47,1/3,874/3
50,1/3,875/3
