r,1.0,0.0,0
63,0.25,1.0,0
r,1/12,1.25,0
r,1/6,4/3,0
63,0.5,1.5,0
68,0.25,2.0,0
r,0.25,2.25,0
68,0.25,2.5,0
r,0.25,2.75,0
68,0.25,3.0,0
r,0.75,3.0,0
67,0.25,3.25,0
67,1/3,3.5,0
65,0.25,3.75,0
r,1/6,23/6,0
67,1/3,4.0,0
r,0.5,4.0,0
63,0.25,13/3,0
68,1.0,4.5,0
70,0.5,5.5,0
73,1/3,6.0,0
r,0.5,6.0,0
72,0.25,19/3,0
70,0.25,6.5,0
r,5/12,79/12,0
r,0.75,6.75,0
72,0.25,7.0,0
70,0.25,7.0,0
69,0.25,7.0,0
70,0.25,7.25,0
72,0.25,7.25,0
73,1.0,7.5,0
72,0.5,8.5,0
77,0.5,9.0,0
70,0.5,9.5,0
75,0.5,10.0,0
68,0.5,10.5,0
73,0.5,11.0,0
72,0.5,11.5,0
69,0.5,12.0,0
70,0.25,12.5,0
r,0.25,12.75,0
63,1/3,13.0,0
63,5/12,40/3,0
63,1/12,13.5,0
68,0.25,13.75,0
68,0.25,14.0,0
68,0.25,14.25,0
68,0.25,14.5,0
68,0.25,14.75,0
68,0.25,15.0,0
r,0.75,15.0,0
67,0.25,15.25,0
67,1/3,15.5,0
65,0.25,15.75,0
r,1/6,95/6,0
67,1/3,16.0,0
r,0.5,16.0,0
63,0.25,49/3,0
68,1.0,16.5,0
70,0.5,17.5,0
73,1/3,18.0,0
r,0.5,18.0,0
72,0.25,55/3,0
70,0.25,18.5,0
r,5/12,223/12,0
r,0.75,18.75,0
72,0.25,19.0,0
70,0.25,19.0,0
69,0.25,19.0,0
70,0.25,19.25,0
72,0.25,19.25,0
73,1.0,19.5,0
72,0.5,20.5,0
77,0.5,21.0,0
70,0.5,21.5,0
75,0.25,22.0,0
r,0.25,22.25,0
70,0.25,22.5,0
68,0.25,22.5,0
67,0.25,22.5,0
68,0.25,22.75,0
70,0.25,22.75,0
72,0.5,23.0,0
70,0.5,23.5,0
68,0.5,24.0,0
r,0.25,24.5,0
r,0.25,24.75,0
r,0.5,25.0,0
r,1.5,25.5,0
r,0.75,27.0,0
r,0.25,27.75,0
r,0.5,28.0,0
r,1.5,28.5,0
r,0.75,30.0,0
r,0.25,30.75,0
75,1.0,31.0,0
74,0.5,32.0,0
76,0.5,32.5,0
77,0.5,33.0,0
79,0.5,33.5,0
80,1/3,34.0,0
77,0.25,103/3,0
75,1.0,34.5,0
74,0.25,35.5,0
75,0.25,35.5,0
74,0.25,35.5,0
75,0.25,35.5,0
74,0.25,35.5,0
75,0.25,35.75,0
74,0.25,35.75,0
72,0.25,35.75,0
74,0.25,35.75,0
75,1.0,36.0,0
79,1/3,37.0,0
77,0.25,112/3,0
75,1.0,37.5,0
74,0.25,38.5,0
75,0.25,38.5,0
74,0.25,38.5,0
75,0.25,38.5,0
74,0.25,38.5,0
75,0.25,38.75,0
74,0.25,38.75,0
72,0.25,38.75,0
74,0.25,38.75,0
75,0.25,39.0,0
r,0.25,39.25,0
75,0.25,39.5,0
r,0.25,39.75,0
75,0.25,40.0,0
r,0.25,40.25,0
63,0.25,40.5,0
68,0.25,40.75,0
68,0.25,41.0,0
68,0.25,41.25,0
68,0.25,41.5,0
68,0.25,41.75,0
68,0.25,42.0,0
r,0.75,42.0,0
67,0.25,42.25,0
67,1/3,42.5,0
65,0.25,42.75,0
r,1/6,257/6,0
67,1/3,43.0,0
r,0.5,43.0,0
63,0.25,130/3,0
68,1.0,43.5,0
70,0.5,44.5,0
73,1/3,45.0,0
r,0.5,45.0,0
72,0.25,136/3,0
70,0.25,45.5,0
r,5/12,547/12,0
r,0.75,45.75,0
72,0.25,46.0,0
70,0.25,46.0,0
69,0.25,46.0,0
70,0.25,46.25,0
72,0.25,46.25,0
73,1.0,46.5,0
72,0.5,47.5,0
77,0.5,48.0,0
70,0.25,48.5,0
r,0.25,48.75,0
75,0.25,49.0,0
r,1/12,49.25,0
r,1/6,148/3,0
70,0.25,49.5,0
68,0.25,49.5,0
67,0.25,49.5,0
68,0.25,49.75,0
70,0.25,49.75,0
72,0.5,50.0,0
70,0.5,50.5,0
68,0.5,51.0,0
r,0.5,51.5,0
r,0.5,52.0,0
r,1.0,52.5,0
51,2/3,53.5,0
48,0.25,54.0,0
51,0.25,54.0,0
r,0.5,54.0,0
r,1/12,54.25,0
56,0.25,163/3,0
60,0.5,54.5,0
r,5/12,655/12,0
56,0.5,55.0,0
r,0.5,55.0,0
55,0.25,55.5,0
61,0.25,55.5,0
63,0.25,55.75,0
67,0.25,55.75,0
73,0.5,56.0,0
67,0.5,56.5,0
68,0.25,57.0,0
51,0.25,57.0,0
56,0.25,57.25,0
60,0.25,57.25,0
63,0.5,57.5,0
63,0.5,58.0,0
63,0.5,58.5,0
63,0.25,59.0,0
r,1/12,59.25,0
r,1/6,178/3,0
60,0.25,59.5,0
58,0.25,59.5,0
57,0.25,59.5,0
58,0.25,59.75,0
60,0.25,59.75,0
61,0.25,60.0,0
61,0.25,60.0,0
65,0.25,60.25,0
68,0.25,60.25,0
73,0.5,60.5,0
72,0.25,61.0,0
r,0.25,61.25,0
r,1/6,61.5,0
r,0.25,61.5,0
65,0.25,185/3,0
68,0.25,185/3,0
70,0.25,61.75,0
r,1/12,743/12,0
77,0.5,62.0,0
r,1.0,62.0,0
75,0.25,62.5,0
r,0.25,62.75,0
49,0.25,63.0,0
53,0.25,63.0,0
r,0.5,63.0,0
r,1/12,63.25,0
56,0.25,190/3,0
61,0.5,63.5,0
r,5/12,763/12,0
60,0.5,64.0,0
r,0.5,64.0,0
57,0.5,64.5,0
58,0.25,65.0,0
r,0.25,65.25,0
51,2/3,65.5,0
48,0.25,66.0,0
51,0.25,66.0,0
r,0.5,66.0,0
r,1/12,66.25,0
56,0.25,199/3,0
60,0.5,66.5,0
r,5/12,799/12,0
56,0.5,67.0,0
r,0.5,67.0,0
55,0.25,67.5,0
61,0.25,67.5,0
63,0.25,67.75,0
67,0.25,67.75,0
73,0.5,68.0,0
67,0.5,68.5,0
68,0.25,69.0,0
51,0.25,69.0,0
56,0.25,69.25,0
60,0.25,69.25,0
63,0.25,69.5,0
63,0.25,69.75,0
63,0.25,70.0,0
63,0.25,70.25,0
63,0.5,70.5,0
63,0.25,71.0,0
r,1/12,71.25,0
r,1/6,214/3,0
60,0.25,71.5,0
58,0.25,71.5,0
57,0.25,71.5,0
58,0.25,71.75,0
60,0.25,71.75,0
61,0.25,72.0,0
61,0.25,72.0,0
65,0.25,72.25,0
68,0.25,72.25,0
73,0.5,72.5,0
72,0.25,73.0,0
r,0.25,73.25,0
r,1/6,73.5,0
r,0.25,73.5,0
77,0.25,221/3,0
80,0.25,221/3,0
82,0.25,73.75,0
r,1/12,887/12,0
89,0.5,74.0,0
r,1.0,74.0,0
87,0.25,74.5,0
r,0.25,74.75,0
60,0.25,75.0,0
63,0.25,75.0,0
r,0.5,75.0,0
r,1/12,75.25,0
68,0.25,226/3,0
72,0.75,75.5,0
r,2/3,907/12,0
70,0.25,76.25,0
r,0.25,76.25,0
68,0.5,76.5,0
r,0.25,77.0,0
r,0.25,77.25,0
r,0.25,77.5,0
r,0.25,77.75,0
r,1/3,78.0,0
r,1/6,235/3,0
r,1.0,78.5,0
r,1.25,79.5,0
r,0.25,80.75,0
r,1/3,81.0,0
r,1/6,244/3,0
r,1.0,81.5,0
r,7/6,82.5,0
r,1/12,251/3,0
75,0.25,83.75,0
r,0.25,84.0,0
75,0.25,84.25,0
r,0.25,84.5,0
74,0.25,84.75,0
r,0.25,85.0,0
76,0.25,85.25,0
r,0.25,85.5,0
77,0.25,85.75,0
r,0.25,86.0,0
79,0.25,86.25,0
r,0.25,86.5,0
80,0.25,86.75,0
75,1.0,87.0,0
74,0.5,88.0,0
75,1.0,88.5,0
77,0.5,89.5,0
75,1.0,90.0,0
74,0.25,91.0,0
75,0.25,91.0,0
74,0.25,91.0,0
75,0.25,91.0,0
74,0.25,91.0,0
75,0.25,91.25,0
74,0.25,91.25,0
72,0.25,91.25,0
74,0.25,91.25,0
63,0.25,91.5,0
67,0.25,91.5,0
75,0.25,91.5,0
63,0.25,91.5,0
r,1.25,91.5,0
67,0.25,91.75,0
75,0.25,91.75,0
62,0.25,92.0,0
68,0.25,92.0,0
r,1/12,92.25,0
75,0.25,277/3,0
r,1/12,1111/12,0
61,0.25,278/3,0
70,0.25,278/3,0
75,0.25,92.75,0
60,0.25,92.75,0
r,1/12,1115/12,0
48,0.25,93.0,0
51,0.25,93.0,0
r,0.5,93.0,0
r,1/12,93.25,0
56,0.25,280/3,0
60,0.5,93.5,0
r,5/12,1123/12,0
56,0.5,94.0,0
r,0.5,94.0,0
55,0.25,94.5,0
61,0.25,94.5,0
63,0.25,94.75,0
67,0.25,94.75,0
73,0.5,95.0,0
67,0.5,95.5,0
68,0.25,96.0,0
51,0.25,96.0,0
56,0.25,96.25,0
60,0.25,96.25,0
63,0.25,96.5,0
63,0.25,96.75,0
63,0.25,97.0,0
63,0.25,97.25,0
63,0.5,97.5,0
63,0.25,98.0,0
r,1/12,98.25,0
r,1/6,295/3,0
60,0.25,98.5,0
58,0.25,98.5,0
57,0.25,98.5,0
58,0.25,98.75,0
60,0.25,98.75,0
61,0.25,99.0,0
61,0.25,99.0,0
65,0.25,99.25,0
68,0.25,99.25,0
73,0.5,99.5,0
72,0.25,100.0,0
r,0.25,100.25,0
r,1/6,100.5,0
r,0.25,100.5,0
77,0.25,302/3,0
80,0.25,302/3,0
82,0.25,100.75,0
r,1/12,1211/12,0
89,0.5,101.0,0
r,1.0,101.0,0
87,0.25,101.5,0
r,0.25,101.75,0
60,0.25,102.0,0
63,0.25,102.0,0
r,0.5,102.0,0
r,1/12,102.25,0
68,0.25,307/3,0
72,0.75,102.5,0
r,2/3,1231/12,0
70,0.25,103.25,0
r,0.25,103.25,0
68,0.5,103.5,0
r,0.25,104.0,0
r,0.25,104.25,0
r,0.5,104.5,0
r,1.0,105.0,0
r,1/3,106.0,0
r,1/6,319/3,0
r,1.25,106.5,0
r,0.25,107.75,0
r,1.5,108.0,0
r,1.5,109.5,0
r,0.75,111.0,0
r,0.75,111.75,0
r,1.5,112.5,0
r,1.5,114.0,0
r,1.25,115.5,0
r,0.25,116.75,0
r,0.75,117.0,0
r,0.25,117.75,0
r,1/3,118.0,0
r,1/6,355/3,0
r,1.25,118.5,0
r,0.25,119.75,0
r,1.5,120.0,0
r,1.5,121.5,0
r,0.75,123.0,0
r,0.75,123.75,0
r,1.5,124.5,0
r,1.5,126.0,0
r,1.25,127.5,0
r,0.25,128.75,0
r,1/3,129.0,0
r,5/12,388/3,0
r,0.25,129.75,0
r,0.5,130.0,0
r,1.5,130.5,0
r,0.75,132.0,0
r,0.25,132.75,0
r,0.5,133.0,0
r,1.5,133.5,0
r,0.75,135.0,0
r,0.25,135.75,0
r,0.5,136.0,0
r,1.5,136.5,0
r,1.0,138.0,0
r,0.25,139.0,0
r,0.25,139.25,0
r,1.5,139.5,0
r,1.0,141.0,0
r,0.25,142.0,0
r,1/12,142.25,0
r,1/6,427/3,0
r,5/6,142.5,0
r,5/12,430/3,0
r,0.25,143.75,0
r,1/3,144.0,0
r,1/3,433/3,0
r,1/12,434/3,0
r,0.25,144.75,0
r,1/3,145.0,0
r,1/6,436/3,0
r,1.25,145.5,0
r,0.25,146.75,0
r,1.5,147.0,0
r,1.5,148.5,0
r,0.75,150.0,0
r,0.75,150.75,0
r,1.5,151.5,0
r,1.5,153.0,0
r,1.25,154.5,0
r,0.25,155.75,0
r,1/3,156.0,0
r,1/6,469/3,0
r,0.25,156.5,0
r,0.75,156.75,0
r,1.0,157.5,0
51,0.25,158.5,0
51,0.5,158.75,0
56,0.5,159.25,0
56,0.5,159.75,0
56,0.5,160.25,0
55,0.5,160.75,0
55,0.5,161.25,0
55,0.5,161.75,0
56,0.5,162.25,0
56,0.5,162.75,0
56,0.5,163.25,0
57,0.5,163.75,0
57,0.5,164.25,0
57,0.5,164.75,0
60,0.5,165.25,0
60,0.5,165.75,0
60,0.5,166.25,0
61,0.5,166.75,0
61,0.5,167.25,0
61,0.5,167.75,0
62,0.5,168.25,0
62,0.5,168.75,0
62,0.75,169.25,0
63,0.25,170.0,0
r,1/12,170.25,0
r,1/6,511/3,0
63,0.25,170.5,0
63,0.5,170.75,0
68,0.5,171.25,0
68,0.5,171.75,0
68,0.5,172.25,0
67,0.5,172.75,0
67,0.5,173.25,0
67,0.5,173.75,0
68,0.5,174.25,0
68,0.5,174.75,0
68,0.5,175.25,0
69,0.5,175.75,0
69,0.5,176.25,0
69,0.5,176.75,0
72,0.5,177.25,0
72,0.5,177.75,0
72,0.5,178.25,0
73,0.5,178.75,0
73,0.5,179.25,0
74,0.5,179.75,0
75,0.5,180.25,0
75,0.5,180.75,0
75,0.25,181.25,0
68,0.5,181.5,0
r,1/3,182.0,0
r,1/6,547/3,0
r,0.5,182.5,0
78,2.0,183.0,0
76,0.25,185.0,0
r,1/12,185.25,0
r,1/6,556/3,0
r,0.5,185.5,0
73,2.0,186.0,0
71,0.25,188.0,0
r,1/12,188.25,0
r,1/6,565/3,0
71,0.25,188.5,0
71,0.5,188.75,0
70,0.5,189.25,0
70,0.25,189.75,0
80,0.25,190.0,0
80,0.5,190.25,0
78,0.5,190.75,0
78,0.25,191.25,0
77,0.25,191.5,0
77,0.5,191.75,0
75,0.5,192.25,0
75,0.25,192.75,0
74,0.25,193.0,0
74,0.5,193.25,0
75,0.5,193.75,0
75,0.25,194.25,0
77,0.25,194.5,0
77,0.5,194.75,0
75,0.5,195.25,0
75,0.25,195.75,0
74,0.25,196.0,0
74,0.5,196.25,0
75,0.5,196.75,0
63,0.5,197.25,0
63,0.5,197.75,0
68,0.5,198.25,0
68,0.5,198.75,0
68,0.5,199.25,0
67,0.5,199.75,0
67,0.5,200.25,0
67,0.5,200.75,0
68,0.5,201.25,0
68,0.5,201.75,0
68,0.5,202.25,0
69,0.5,202.75,0
69,0.5,203.25,0
69,0.5,203.75,0
72,0.5,204.25,0
72,0.5,204.75,0
72,0.5,205.25,0
73,0.5,205.75,0
73,0.5,206.25,0
74,0.5,206.75,0
75,0.5,207.25,0
75,0.5,207.75,0
75,0.25,208.25,0
68,0.5,208.5,0
r,0.5,209.0,0
r,0.5,209.5,0
r,1.0,210.0,0
63,1.0,211.0,0
68,0.25,212.0,0
r,0.25,212.25,0
80,1.0,212.5,0
79,0.25,213.5,0
r,0.25,213.75,0
67,1.0,214.0,0
68,0.25,215.0,0
r,0.25,215.25,0
84,1.0,215.5,0
82,0.25,216.5,0
r,0.25,216.75,0
73,1.0,217.0,0
72,0.25,218.0,0
r,0.25,218.25,0
89,1.0,218.5,0
87,0.25,219.5,0
r,0.25,219.75,0
62,0.5,220.0,0
61,0.5,220.5,0
60,0.5,221.0,0
59,1.0,221.5,0
58,0.25,222.5,0
r,0.25,222.75,0
51,1.0,223.0,0
68,0.25,224.0,0
r,0.25,224.25,0
80,1.0,224.5,0
79,0.25,225.5,0
r,0.25,225.75,0
67,1.0,226.0,0
68,0.25,227.0,0
r,0.25,227.25,0
84,1.0,227.5,0
82,0.25,228.5,0
r,0.25,228.75,0
73,1.0,229.0,0
72,0.25,230.0,0
r,0.25,230.25,0
89,1.0,230.5,0
87,0.25,231.5,0
r,0.25,231.75,0
68,1.5,232.0,0
67,0.5,233.5,0
68,0.25,234.0,0
r,0.5,234.25,0
r,0.25,234.75,0
66,1.0,235.0,0
65,0.25,236.0,0
r,0.25,236.25,0
87,1.0,236.5,0
85,0.25,237.5,0
r,0.25,237.75,0
64,1.0,238.0,0
63,0.25,239.0,0
r,0.25,239.25,0
85,1.0,239.5,0
84,0.25,240.5,0
r,0.25,240.75,0
60,1.0,241.0,0
59,0.25,242.0,0
r,1/12,242.25,0
r,1/6,727/3,0
70,1.0,242.5,0
69,0.25,243.5,0
r,0.25,243.75,0
77,1.0,244.0,0
75,0.25,245.0,0
r,1/12,245.25,0
r,1/6,736/3,0
62,1.0,245.5,0
63,0.25,246.5,0
r,0.25,246.75,0
77,1.0,247.0,0
75,0.25,248.0,0
r,1/12,248.25,0
r,1/6,745/3,0
62,0.5,248.5,0
63,0.25,249.0,0
r,0.25,249.25,0
63,0.5,249.5,0
