36,2/3,0.0,0
48,2/3,0.0,0
r,1.25,0.0,0
39,2/3,2/3,0
51,2/3,2/3,0
43,2/3,1.25,0
55,2/3,1.25,0
r,5/12,4/3,0
60,2/3,1.75,0
48,2/3,1.75,0
r,5/12,23/12,0
51,2/3,7/3,0
63,2/3,7/3,0
r,7/12,29/12,0
55,2/3,3.0,0
67,2/3,3.0,0
r,1.25,3.0,0
60,2/3,11/3,0
79,2/3,11/3,0
63,2/3,4.25,0
75,2/3,4.25,0
r,5/12,13/3,0
67,2/3,4.75,0
72,2/3,4.75,0
r,5/12,59/12,0
59,2/3,16/3,0
79,2/3,16/3,0
r,7/12,65/12,0
62,2/3,6.0,0
74,2/3,6.0,0
r,1.25,6.0,0
67,2/3,20/3,0
71,2/3,20/3,0
47,2/3,7.25,0
67,2/3,7.25,0
r,5/12,22/3,0
50,2/3,7.75,0
62,2/3,7.75,0
r,5/12,95/12,0
55,2/3,25/3,0
59,2/3,25/3,0
r,7/12,101/12,0
46,2/3,9.0,0
67,2/3,9.0,0
r,1.25,9.0,0
50,2/3,29/3,0
62,2/3,29/3,0
55,2/3,10.25,0
58,2/3,10.25,0
r,5/12,31/3,0
58,2/3,10.75,0
79,2/3,10.75,0
r,5/12,131/12,0
62,2/3,34/3,0
74,2/3,34/3,0
r,7/12,137/12,0
67,2/3,12.0,0
70,2/3,12.0,0
r,1.25,12.0,0
57,2/3,38/3,0
77,2/3,38/3,0
60,2/3,13.25,0
72,2/3,13.25,0
r,5/12,40/3,0
65,2/3,13.75,0
69,2/3,13.75,0
r,5/12,167/12,0
45,2/3,43/3,0
65,2/3,43/3,0
r,7/12,173/12,0
48,2/3,15.0,0
60,2/3,15.0,0
r,1.25,15.0,0
53,2/3,47/3,0
57,2/3,47/3,0
44,2/3,16.25,0
65,2/3,16.25,0
r,5/12,49/3,0
48,2/3,16.75,0
60,2/3,16.75,0
r,5/12,203/12,0
53,2/3,52/3,0
56,2/3,52/3,0
r,7/12,209/12,0
56,2/3,18.0,0
77,2/3,18.0,0
r,1.25,18.0,0
60,2/3,56/3,0
72,2/3,56/3,0
65,2/3,19.25,0
68,2/3,19.25,0
r,5/12,58/3,0
55,2/3,19.75,0
75,2/3,19.75,0
r,5/12,239/12,0
60,2/3,61/3,0
72,2/3,61/3,0
r,7/12,245/12,0
63,2/3,21.0,0
67,2/3,21.0,0
r,1.25,21.0,0
36,2/3,65/3,0
48,2/3,65/3,0
