78,6.0,0.0,0
r,3.0,6.0,0
r,3.0,9.0,0
69,0.5,12.0,0
66,0.5,12.5,0
62,2/3,13.0,0
r,4/3,41/3,0
71,0.5,15.0,0
67,0.5,15.5,0
64,2/3,16.0,0
r,4/3,50/3,0
67,0.5,18.0,0
64,0.5,18.5,0
61,2/3,19.0,0
r,4/3,59/3,0
62,2/3,21.0,0
r,1/3,65/3,0
62,2/3,22.0,0
r,4/3,68/3,0
81,6.0,24.0,0
r,3.0,30.0,0
r,3.0,33.0,0
76,0.5,36.0,0
73,0.5,36.5,0
69,2/3,37.0,0
r,4/3,113/3,0
78,0.5,39.0,0
74,0.5,39.5,0
71,2/3,40.0,0
r,4/3,122/3,0
74,0.5,42.0,0
71,0.5,42.5,0
68,2/3,43.0,0
r,4/3,131/3,0
69,2/3,45.0,0
r,1/3,137/3,0
69,2/3,46.0,0
r,4/3,140/3,0
74,3.0,48.0,0
78,3.0,48.0,0
r,3.0,51.0,0
r,3.0,54.0,0
r,3.0,57.0,0
69,0.5,60.0,0
66,0.5,60.5,0
62,2/3,61.0,0
r,4/3,185/3,0
71,0.5,63.0,0
67,0.5,63.5,0
64,2/3,64.0,0
r,4/3,194/3,0
67,0.5,66.0,0
64,0.5,66.5,0
61,2/3,67.0,0
r,4/3,203/3,0
62,2/3,69.0,0
r,1/3,209/3,0
62,2/3,70.0,0
r,4/3,212/3,0
73,3.0,72.0,0
81,3.0,72.0,0
r,3.0,75.0,0
r,3.0,78.0,0
r,3.0,81.0,0
76,0.5,84.0,0
73,0.5,84.5,0
69,2/3,85.0,0
r,4/3,257/3,0
78,0.5,87.0,0
74,0.5,87.5,0
71,2/3,88.0,0
r,4/3,266/3,0
74,0.5,90.0,0
71,0.5,90.5,0
68,2/3,91.0,0
r,4/3,275/3,0
69,2/3,93.0,0
r,1/3,281/3,0
69,2/3,94.0,0
r,4/3,284/3,0
r,1.0,96.0,0
74,2/3,97.0,0
r,1/3,293/3,0
74,2/3,98.0,0
r,1/3,296/3,0
r,1.0,99.0,0
