r,3.0,0.0
r,3.0,3.0
r,3.0,6.0
r,3.0,9.0
r,3.0,12.0
r,3.0,15.0
r,3.0,18.0
r,3.0,21.0
r,3.0,24.0
r,3.0,27.0
r,3.0,30.0
r,3.0,33.0
r,3.0,36.0
r,3.0,39.0
r,3.0,42.0
r,3.0,45.0
r,0.5,48.0
54,0.25,48.5
57,0.25,48.75
62,0.25,49.0
66,0.25,49.25
r,1.5,49.5
r,0.5,51.0
62,0.25,51.5
66,0.25,51.75
71,0.25,52.0
74,0.25,52.25
r,1.5,52.5
r,0.5,54.0
59,0.25,54.5
62,0.25,54.75
67,0.25,55.0
71,0.25,55.25
r,1.5,55.5
r,0.25,57.0
69,0.25,57.25
r,0.25,57.5
69,0.25,57.75
r,0.25,58.0
69,0.25,58.25
r,1.5,58.5
r,0.5,60.0
54,0.25,60.5
57,0.25,60.75
62,0.25,61.0
66,0.25,61.25
r,1.5,61.5
r,0.5,63.0
62,0.25,63.5
66,0.25,63.75
71,0.25,64.0
74,0.25,64.25
r,1.5,64.5
r,0.5,66.0
59,0.25,66.5
64,0.25,66.75
68,0.25,67.0
71,0.25,67.25
r,1.5,67.5
r,0.5,69.0
56,0.25,69.5
59,0.25,69.75
64,0.25,70.0
68,0.25,70.25
r,1.5,70.5
r,0.5,72.0
59,0.25,72.5
64,0.25,72.75
68,0.25,73.0
71,0.25,73.25
r,1.5,73.5
r,0.5,75.0
68,0.25,75.5
71,0.25,75.75
76,0.25,76.0
80,0.25,76.25
r,1.5,76.5
r,0.5,78.0
59,0.25,78.5
64,0.25,78.75
68,0.25,79.0
71,0.25,79.25
r,1.5,79.5
r,3.0,81.0
r,3.0,84.0
r,3.0,87.0
r,2.5,90.0
73,0.5,92.5
71,1.0,93.0
74,0.5,94.0
73,0.5,94.5
r,1.0,95.0
r,3.0,96.0
r,3.0,99.0
r,2.5,102.0
73,0.5,104.5
71,1.0,105.0
74,0.5,106.0
73,1.0,106.5
76,0.5,107.5
76,1.0,108.0
76,0.5,109.0
76,1.0,109.5
73,0.5,110.5
71,1.0,111.0
74,0.5,112.0
73,1.0,112.5
76,0.5,113.5
76,1.0,114.0
76,0.5,115.0
76,1.0,115.5
76,0.5,116.5
76,1.0,117.0
76,0.5,118.0
76,1.0,118.5
76,0.5,119.5
78,3.0,120.0
74,3.0,123.0
57,6.0,126.0
57,6.0,132.0
57,5.0,138.0
67,0.5,143.0
66,0.5,143.5
67,1.0,144.0
r,2.0,145.0
68,1.0,147.0
r,2.0,148.0
r,3.0,150.0
r,3.0,153.0
r,3.0,156.0
57,1.5,159.0
59,1.5,160.5
55,1.0,162.0
55,0.5,163.0
54,1.0,163.5
r,0.5,164.5
r,3.0,165.0
r,3.0,168.0
r,3.0,171.0
r,3.0,174.0
r,3.0,177.0
r,3.0,180.0
r,3.0,183.0
r,3.0,186.0
r,3.0,189.0
r,3.0,192.0
r,3.0,195.0
r,3.0,198.0
62,1.0,201.0
r,0.5,202.0
62,1.0,202.5
r,0.5,203.5
62,1.0,204.0
r,0.5,205.0
62,1.0,205.5
r,0.5,206.5
64,1.0,207.0
r,0.5,208.0
64,1.0,208.5
r,0.5,209.5
62,1.0,210.0
66,0.5,211.0
62,0.5,211.5
74,0.5,212.0
74,0.5,212.5
74,1.0,213.0
r,0.5,214.0
74,1.0,214.5
r,0.5,215.5
74,1.0,216.0
r,0.5,217.0
74,1.0,217.5
r,0.5,218.5
76,1.0,219.0
r,0.5,220.0
72,1.0,220.5
r,0.5,221.5
71,1.0,222.0
r,0.5,223.0
77,1.0,223.5
r,0.5,224.5
76,1.0,225.0
r,0.5,226.0
72,1.0,226.5
r,0.5,227.5
71,1.0,228.0
r,0.5,229.0
77,1.0,229.5
r,0.5,230.5
76,1.0,231.0
r,0.5,232.0
72,1.0,232.5
r,0.5,233.5
71,0.5,234.0
72,0.5,234.5
74,0.5,235.0
76,2.0,235.5
74,0.5,237.5
76,0.5,238.0
78,2.0,238.5
76,0.5,240.5
78,0.5,241.0
79,1.0,241.5
78,0.5,242.5
76,1.0,243.0
74,0.5,244.0
76,1.0,244.5
76,0.5,245.5
74,2.0,246.0
73,0.5,248.0
75,0.5,248.5
76,2.0,249.0
75,0.5,251.0
77,0.5,251.5
78,2.0,252.0
77,1.0,254.0
76,1.0,255.0
75,0.5,256.0
74,0.5,256.5
78,0.5,257.0
78,0.5,257.5
79,0.5,258.0
r,1.5,258.5
74,0.5,260.0
71,0.5,260.5
72,2.0,261.0
76,0.5,263.0
73,0.5,263.5
74,2.0,264.0
77,0.5,266.0
75,0.5,266.5
76,0.5,267.0
72,0.5,267.5
71,0.5,268.0
69,0.5,268.5
74,0.5,269.0
72,0.5,269.5
70,2.0,270.0
69,0.5,272.0
70,0.5,272.5
72,2.0,273.0
71,0.5,275.0
72,0.5,275.5
74,2.0,276.0
75,0.5,278.0
74,0.5,278.5
69,1.0,279.0
73,1.0,279.0
71,0.5,280.0
74,0.5,280.0
69,1.0,280.5
73,1.0,280.5
73,0.5,281.5
76,0.5,281.5
69,0.5,282.0
74,0.5,282.0
r,2.5,282.5
64,2.0,285.0
63,0.5,287.0
64,0.5,287.5
65,2.0,288.0
64,0.5,290.0
65,0.5,290.5
67,2.0,291.0
66,0.5,293.0
67,0.5,293.5
69,2.0,294.0
68,0.5,296.0
69,0.5,296.5
70,0.5,297.0
69,0.5,297.5
70,0.5,298.0
71,0.5,298.5
70,0.5,299.0
71,0.5,299.5
r,3.0,300.0
r,3.0,303.0
r,3.0,306.0
r,3.0,309.0
r,3.0,312.0
r,3.0,315.0
r,3.0,318.0
r,3.0,321.0
r,3.0,324.0
r,3.0,327.0
r,3.0,330.0
r,0.5,333.0
61,0.5,333.5
64,0.5,334.0
69,0.5,334.5
73,0.5,335.0
76,0.5,335.5
81,4.5,336.0
r,1.5,340.5
r,1.5,342.0
r,3.0,343.5
r,3.0,346.5
r,3.0,349.5
r,3.0,352.5
r,3.0,355.5
r,3.0,358.5
r,3.0,361.5
r,3.0,364.5
r,3.0,367.5
r,3.0,370.5
r,3.0,373.5
r,3.0,376.5
r,3.0,379.5
r,3.0,382.5
r,3.0,385.5
r,3.0,388.5
r,0.5,391.5
54,0.25,392.0
57,0.25,392.25
62,0.25,392.5
66,0.25,392.75
r,1.5,393.0
r,0.5,394.5
62,0.25,395.0
66,0.25,395.25
71,0.25,395.5
74,0.25,395.75
r,1.5,396.0
r,0.5,397.5
59,0.25,398.0
62,0.25,398.25
67,0.25,398.5
71,0.25,398.75
r,1.5,399.0
r,0.25,400.5
69,0.25,400.75
r,0.25,401.0
69,0.25,401.25
r,0.25,401.5
69,0.25,401.75
r,1.5,402.0
r,0.5,403.5
54,0.25,404.0
57,0.25,404.25
62,0.25,404.5
66,0.25,404.75
r,1.5,405.0
r,0.5,406.5
62,0.25,407.0
66,0.25,407.25
71,0.25,407.5
74,0.25,407.75
r,1.5,408.0
r,0.5,409.5
59,0.25,410.0
62,0.25,410.25
67,0.25,410.5
71,0.25,410.75
r,1.5,411.0
r,0.5,412.5
64,0.25,413.0
67,0.25,413.25
71,0.25,413.5
76,0.25,413.75
r,1.5,414.0
r,0.5,415.5
61,0.25,416.0
64,0.25,416.25
69,0.25,416.5
73,0.25,416.75
r,1.5,417.0
r,0.5,418.5
62,0.25,419.0
66,0.25,419.25
69,0.25,419.5
74,0.25,419.75
r,1.5,420.0
r,0.5,421.5
61,0.25,422.0
64,0.25,422.25
69,0.25,422.5
73,0.25,422.75
r,1.5,423.0
r,0.5,424.5
62,0.25,425.0
66,0.25,425.25
69,0.25,425.5
74,0.25,425.75
r,1.5,426.0
r,0.5,427.5
61,0.25,428.0
64,0.25,428.25
69,0.25,428.5
73,0.25,428.75
r,1.5,429.0
r,0.5,430.5
64,0.25,431.0
69,0.25,431.25
73,0.25,431.5
76,0.25,431.75
r,1.5,432.0
r,3.0,433.5
r,3.0,436.5
r,3.0,439.5
r,2.5,442.5
66,0.5,445.0
64,1.0,445.5
67,0.5,446.5
66,0.5,447.0
r,1.0,447.5
r,3.0,448.5
r,3.0,451.5
r,2.5,454.5
66,0.5,457.0
64,1.0,457.5
67,0.5,458.5
66,1.0,459.0
69,0.5,460.0
69,1.0,460.5
69,0.5,461.5
69,1.0,462.0
66,0.5,463.0
64,1.0,463.5
67,0.5,464.5
66,1.0,465.0
69,0.5,466.0
69,1.0,466.5
69,0.5,467.5
69,1.0,468.0
74,0.5,469.0
73,1.0,469.5
76,0.5,470.5
74,1.0,471.0
81,0.5,472.0
81,1.0,472.5
81,0.5,473.5
81,1.0,474.0
81,0.5,475.0
83,3.0,475.5
79,3.0,478.5
62,6.0,481.5
62,6.0,487.5
62,5.0,493.5
60,0.5,498.5
