r,2.0,0.0,0
r,1.75,2.0,0
79,1.75,3.75,0
78,0.25,5.5,0
76,0.25,5.75,0
74,0.25,6.0,0
75,0.25,6.25,0
76,0.25,6.5,0
71,0.25,6.75,0
74,0.25,7.0,0
72,0.25,7.25,0
71,0.25,7.5,0
69,0.25,7.75,0
67,0.75,8.0,0
r,0.75,8.75,0
r,0.25,9.5,0
67,1.0,9.75,0
71,1.0,10.75,0
67,1.0,11.75,0
r,1.0,12.75,0
67,1.0,13.75,0
74,1.0,14.75,0
67,1.0,15.75,0
r,1.0,16.75,0
71,1.0,17.75,0
79,1.0,18.75,0
78,1.0,19.75,0
r,0.75,20.75,0
r,0.5,21.5,0
74,0.25,22.0,0
r,0.75,22.25,0
73,0.25,23.0,0
r,0.75,23.25,0
74,0.25,24.0,0
r,0.75,24.25,0
r,0.75,25.0,0
77,1.75,25.75,0
76,0.25,27.5,0
74,0.25,27.75,0
72,0.25,28.0,0
73,0.25,28.25,0
74,0.25,28.5,0
69,0.25,28.75,0
72,0.25,29.0,0
70,0.25,29.25,0
69,0.25,29.5,0
67,0.25,29.75,0
65,0.75,30.0,0
r,0.75,30.75,0
r,0.25,31.5,0
65,1.0,31.75,0
69,1.0,32.75,0
65,1.0,33.75,0
r,1.0,34.75,0
65,1.0,35.75,0
72,1.0,36.75,0
65,1.0,37.75,0
r,1.0,38.75,0
69,1.0,39.75,0
77,1.0,40.75,0
76,1.0,41.75,0
r,0.75,42.75,0
r,0.5,43.5,0
72,0.25,44.0,0
r,0.75,44.25,0
71,0.25,45.0,0
r,0.75,45.25,0
72,0.25,46.0,0
r,1.25,46.25,0
r,0.25,47.5,0
76,1.0,47.75,0
84,1.0,48.75,0
83,1.0,49.75,0
r,0.75,50.75,0
r,0.5,51.5,0
79,0.25,52.0,0
r,0.75,52.25,0
78,0.25,53.0,0
r,0.75,53.25,0
79,0.25,54.0,0
r,1.75,54.25,0
83,0.25,56.0,0
r,0.75,56.25,0
81,0.25,57.0,0
r,0.75,57.25,0
83,0.25,58.0,0
r,1.75,58.25,0
86,0.25,60.0,0
r,0.75,60.25,0
86,0.25,61.0,0
r,0.25,61.25,0
r,0.5,61.5,0
79,0.25,62.0,0
82,0.25,62.25,0
83,0.25,62.5,0
78,0.25,62.75,0
81,0.25,63.0,0
79,0.25,63.25,0
78,0.25,63.5,0
76,0.25,63.75,0
74,0.25,64.0,0
75,0.25,64.25,0
76,0.25,64.5,0
71,0.25,64.75,0
74,0.25,65.0,0
72,0.25,65.25,0
71,0.25,65.5,0
69,0.25,65.75,0
67,0.25,66.0,0
70,0.25,66.25,0
71,0.25,66.5,0
66,0.25,66.75,0
69,0.25,67.0,0
67,0.25,67.25,0
66,0.25,67.5,0
64,0.25,67.75,0
62,0.25,68.0,0
63,0.25,68.25,0
64,0.25,68.5,0
59,0.25,68.75,0
62,0.25,69.0,0
60,0.25,69.25,0
59,0.25,69.5,0
57,0.25,69.75,0
55,0.25,70.0,0
58,0.25,70.25,0
59,0.25,70.5,0
54,0.25,70.75,0
57,0.25,71.0,0
55,0.25,71.25,0
54,0.25,71.5,0
52,0.25,71.75,0
50,0.25,72.0,0
51,0.25,72.25,0
52,0.25,72.5,0
47,0.25,72.75,0
50,0.25,73.0,0
48,0.25,73.25,0
47,0.25,73.5,0
45,0.25,73.75,0
43,0.25,74.0,0
42,0.25,74.25,0
43,0.25,74.5,0
45,0.25,74.75,0
46,0.25,75.0,0
47,0.25,75.25,0
48,0.25,75.5,0
49,0.25,75.75,0
50,0.25,76.0,0
49,0.25,76.25,0
50,0.25,76.5,0
52,0.25,76.75,0
54,0.25,77.0,0
50,0.25,77.25,0
52,0.25,77.5,0
54,0.25,77.75,0
55,0.25,78.0,0
54,0.25,78.25,0
55,0.25,78.5,0
57,0.25,78.75,0
58,0.25,79.0,0
59,0.25,79.25,0
60,0.25,79.5,0
61,0.25,79.75,0
62,0.25,80.0,0
62,0.25,80.25,0
66,0.25,80.5,0
69,0.25,80.75,0
74,0.25,81.0,0
74,0.25,81.25,0
78,0.25,81.5,0
81,0.25,81.75,0
86,0.25,82.0,0
86,0.25,82.25,0
81,0.25,82.5,0
78,0.25,82.75,0
74,0.25,83.0,0
