r,3.0,0.0,0
72,0.75,3.0,0
65,0.25,3.75,0
65,0.75,4.0,0
r,0.25,4.75,0
r,1.0,5.0,0
72,0.75,6.0,0
65,0.25,6.75,0
65,0.75,7.0,0
r,0.25,7.75,0
r,1.0,8.0,0
65,2/3,9.0,0
r,1/3,29/3,0
65,2/3,10.0,0
r,1/3,32/3,0
65,2/3,11.0,0
r,1/3,35/3,0
66,2.75,12.0,0
r,0.25,14.75,0
66,2/3,15.0,0
r,1/3,47/3,0
66,2/3,16.0,0
r,1/3,50/3,0
66,2/3,17.0,0
r,1/3,53/3,0
67,5.75,18.0,0
r,0.25,23.75,0
67,0.5,24.0,0
65,0.5,24.5,0
65,0.25,25.0,0
67,0.25,25.25,0
65,0.25,25.5,0
64,0.25,25.75,0
65,0.25,26.0,0
r,0.25,26.25,0
67,0.25,26.5,0
r,0.25,26.75,0
63,0.25,27.0,0
65,0.25,27.25,0
63,0.25,27.5,0
62,0.25,27.75,0
63,1/3,28.0,0
65,1/3,85/3,0
67,0.25,86/3,0
r,1/12,347/12,0
68,1/3,29.0,0
70,1/3,88/3,0
72,0.25,89/3,0
r,1/12,359/12,0
74,1/3,30.0,0
75,1/3,91/3,0
77,0.25,92/3,0
r,1/12,371/12,0
78,1/3,31.0,0
79,1/3,94/3,0
80,0.25,95/3,0
r,1/12,383/12,0
81,1/3,32.0,0
82,1/3,97/3,0
83,0.25,98/3,0
r,1/12,395/12,0
84,0.75,33.0,0
77,0.25,33.75,0
77,0.75,34.0,0
r,0.25,34.75,0
r,0.75,35.0,0
71,0.25,35.75,0
72,0.75,36.0,0
65,0.25,36.75,0
65,0.75,37.0,0
r,0.25,37.75,0
r,1.0,38.0,0
53,2/3,39.0,0
r,1/3,119/3,0
53,2/3,40.0,0
r,1/3,122/3,0
53,2/3,41.0,0
r,1/3,125/3,0
54,2.75,42.0,0
r,0.25,44.75,0
78,2/3,45.0,0
r,1/3,137/3,0
78,2/3,46.0,0
r,1/3,140/3,0
78,2/3,47.0,0
r,1/3,143/3,0
79,5.75,48.0,0
r,0.25,53.75,0
67,0.5,54.0,0
65,0.5,54.5,0
65,0.25,55.0,0
67,0.25,55.25,0
65,0.25,55.5,0
64,0.25,55.75,0
65,0.5,56.0,0
67,0.5,56.5,0
63,1.0,57.0,0
r,1.5,58.0,0
r,0.25,59.5,0
86,0.25,59.75,0
87,0.75,60.0,0
80,0.25,60.75,0
80,0.75,61.0,0
r,0.25,61.75,0
r,0.75,62.0,0
74,0.25,62.75,0
75,0.75,63.0,0
67,0.25,63.75,0
67,0.75,64.0,0
r,0.25,64.75,0
r,1.0,65.0,0
75,0.75,66.0,0
r,0.25,66.75,0
75,0.75,67.0,0
r,0.25,67.75,0
74,0.75,68.0,0
r,0.25,68.75,0
75,1.0,69.0,0
r,1.0,70.0,0
r,1.0,71.0,0
87,0.25,72.0,0
89,0.25,72.0,0
r,1/12,72.25,0
87,0.25,217/3,0
86,0.25,217/3,0
r,1/6,871/12,0
87,0.25,72.75,0
80,0.5,73.0,0
r,0.5,73.5,0
r,1.0,74.0,0
75,0.25,75.0,0
77,0.25,75.0,0
r,1/12,75.25,0
75,0.25,226/3,0
74,0.25,226/3,0
r,1/6,907/12,0
75,0.25,75.75,0
67,0.5,76.0,0
r,0.5,76.5,0
r,1.0,77.0,0
75,0.75,78.0,0
r,0.25,78.75,0
75,0.75,79.0,0
r,0.25,79.75,0
74,0.75,80.0,0
r,0.25,80.75,0
63,0.25,81.0,0
65,0.25,81.25,0
63,0.25,81.5,0
62,0.25,81.75,0
63,0.25,82.0,0
65,0.25,82.25,0
67,0.25,82.5,0
68,0.25,82.75,0
70,0.25,83.0,0
r,0.25,83.25,0
67,0.25,83.5,0
r,0.25,83.75,0
65,0.25,84.0,0
r,0.25,84.25,0
68,0.25,84.5,0
r,0.25,84.75,0
62,0.25,85.0,0
r,0.25,85.25,0
65,0.25,85.5,0
r,0.25,85.75,0
58,0.25,86.0,0
r,0.25,86.25,0
62,0.25,86.5,0
r,0.25,86.75,0
63,0.25,87.0,0
65,0.25,87.25,0
63,0.25,87.5,0
62,0.25,87.75,0
63,0.25,88.0,0
65,0.25,88.25,0
67,0.25,88.5,0
68,0.25,88.75,0
72,0.25,89.0,0
70,0.25,89.25,0
68,0.25,89.5,0
67,0.25,89.75,0
65,0.25,90.0,0
r,0.25,90.25,0
68,0.25,90.5,0
r,0.25,90.75,0
62,0.25,91.0,0
r,0.25,91.25,0
65,0.25,91.5,0
r,0.25,91.75,0
58,0.25,92.0,0
r,0.25,92.25,0
62,0.25,92.5,0
r,0.25,92.75,0
63,0.25,93.0,0
r,0.25,93.25,0
67,0.25,93.5,0
r,0.25,93.75,0
60,0.25,94.0,0
r,0.25,94.25,0
63,0.25,94.5,0
r,0.25,94.75,0
57,0.25,95.0,0
r,0.25,95.25,0
60,0.25,95.5,0
r,0.25,95.75,0
53,0.25,96.0,0
r,0.25,96.25,0
57,0.25,96.5,0
r,0.25,96.75,0
60,0.25,97.0,0
r,0.25,97.25,0
63,0.25,97.5,0
r,0.25,97.75,0
65,0.25,98.0,0
r,0.25,98.25,0
57,0.25,98.5,0
r,0.25,98.75,0
58,0.25,99.0,0
r,0.25,99.25,0
62,0.25,99.5,0
r,0.25,99.75,0
65,0.25,100.0,0
r,0.25,100.25,0
69,0.25,100.5,0
r,0.25,100.75,0
70,0.25,101.0,0
r,0.25,101.25,0
69,0.5,101.5,0
70,0.25,102.0,0
r,0.25,102.25,0
69,0.5,102.5,0
70,0.25,103.0,0
r,0.25,103.25,0
69,0.5,103.5,0
70,0.25,104.0,0
r,0.25,104.25,0
70,0.5,104.5,0
71,0.75,105.0,0
65,0.25,105.75,0
65,0.75,106.0,0
r,0.25,106.75,0
r,1.0,107.0,0
71,0.75,108.0,0
65,0.25,108.75,0
65,0.75,109.0,0
r,0.25,109.75,0
r,1.0,110.0,0
65,2/3,111.0,0
r,1/3,335/3,0
65,2/3,112.0,0
r,1/3,338/3,0
66,2/3,113.0,0
r,1/3,341/3,0
68,2.75,114.0,0
r,0.25,116.75,0
77,2/3,117.0,0
r,1/3,353/3,0
77,2/3,118.0,0
r,1/3,356/3,0
78,2/3,119.0,0
r,1/3,359/3,0
80,2.75,120.0,0
r,0.25,122.75,0
67,2/3,123.0,0
r,1/3,371/3,0
67,2/3,124.0,0
r,1/3,374/3,0
68,2/3,125.0,0
r,1/3,377/3,0
70,2.75,126.0,0
r,0.25,128.75,0
79,2/3,129.0,0
r,1/3,389/3,0
79,2/3,130.0,0
r,1/3,392/3,0
80,2/3,131.0,0
r,1/3,395/3,0
82,2.75,132.0,0
r,0.25,134.75,0
85,1.0,135.0,0
r,1.5,136.0,0
r,0.5,137.5,0
89,1.0,138.0,0
r,2.0,139.0,0
r,1.0,141.0,0
r,1.0,142.0,0
r,0.5,143.0,0
77,0.5,143.5,0
82,1.5,144.0,0
81,0.25,145.5,0
82,0.25,145.75,0
84,0.25,146.0,0
r,0.25,146.25,0
82,0.25,146.5,0
r,0.25,146.75,0
77,1.5,147.0,0
79,0.25,148.5,0
77,0.25,148.75,0
75,0.25,149.0,0
r,0.25,149.25,0
74,0.25,149.5,0
r,0.25,149.75,0
78,0.25,150.0,0
79,0.25,150.25,0
r,0.5,150.5,0
78,0.25,151.0,0
79,0.25,151.25,0
r,0.5,151.5,0
74,0.25,152.0,0
75,0.25,152.25,0
r,0.25,152.5,0
r,0.25,152.75,0
71,0.25,153.0,0
72,0.25,153.25,0
r,2.0,153.5,0
84,0.5,155.5,0
87,1.5,156.0,0
89,0.25,157.5,0
87,0.25,157.75,0
86,0.25,158.0,0
r,0.25,158.25,0
84,0.25,158.5,0
r,0.25,158.75,0
82,0.25,159.0,0
r,0.25,159.25,0
81,0.25,159.5,0
r,0.25,159.75,0
79,0.25,160.0,0
r,0.25,160.25,0
77,0.25,160.5,0
r,0.25,160.75,0
75,0.25,161.0,0
r,0.25,161.25,0
72,0.25,161.5,0
r,0.25,161.75,0
70,0.25,162.0,0
r,0.25,162.25,0
74,0.25,162.5,0
r,0.25,162.75,0
67,0.25,163.0,0
r,0.25,163.25,0
75,0.25,163.5,0
r,0.25,163.75,0
69,0.25,164.0,0
r,0.25,164.25,0
72,0.25,164.5,0
r,0.25,164.75,0
70,0.25,165.0,0
r,2.5,165.0,0
62,0.25,165.25,0
65,0.25,165.5,0
63,0.25,165.75,0
62,0.25,166.0,0
63,0.25,166.25,0
65,0.25,166.5,0
67,0.25,166.5,0
69,0.25,166.75,0
70,0.25,166.75,0
69,0.25,167.0,0
72,0.25,167.0,0
70,0.25,167.0,0
r,1/12,167.25,0
74,0.25,502/3,0
72,0.25,502/3,0
70,0.25,502/3,0
69,0.25,167.5,0
67,0.25,167.5,0
65,0.25,167.5,0
r,1/6,2011/12,0
67,0.25,167.75,0
63,0.25,167.75,0
r,0.25,167.75,0
62,0.25,168.0,0
65,0.25,168.25,0
63,0.25,168.5,0
62,0.25,168.75,0
63,0.25,169.0,0
65,0.25,169.25,0
