36,0.25,0.0
r,0.25,0.25
52,0.25,0.5
36,0.25,0.5
48,0.25,0.5
43,0.25,0.5
r,0.25,0.75
36,0.25,1.0
48,0.25,1.0
43,0.25,1.0
52,0.25,1.0
r,0.25,1.25
36,0.25,1.5
43,0.25,1.5
48,0.25,1.5
52,0.25,1.5
r,0.25,1.75
43,0.25,2.0
36,0.25,2.0
48,0.25,2.0
52,0.25,2.0
r,0.25,2.25
48,0.25,2.5
36,0.25,2.5
43,0.25,2.5
52,0.25,2.5
r,0.25,2.75
36,0.25,3.0
43,0.25,3.0
48,0.25,3.0
52,0.25,3.0
r,0.25,3.25
48,0.25,3.5
52,0.25,3.5
36,0.25,3.5
43,0.25,3.5
r,0.25,3.75
48,0.25,4.0
52,0.25,4.0
36,0.25,4.0
43,0.25,4.0
r,0.25,4.25
52,0.25,4.5
48,0.25,4.5
43,0.25,4.5
36,0.25,4.5
r,0.25,4.75
43,0.25,5.0
36,0.25,5.0
48,0.25,5.0
52,0.25,5.0
r,0.25,5.25
43,0.25,5.5
36,0.25,5.5
52,0.25,5.5
48,0.25,5.5
r,0.25,5.75
43,0.25,6.0
36,0.25,6.0
48,0.25,6.0
52,0.25,6.0
r,0.25,6.25
48,0.25,6.5
52,0.25,6.5
43,0.25,6.5
36,0.25,6.5
r,0.25,6.75
45,0.25,7.0
50,0.25,7.0
54,0.25,7.0
36,0.25,7.0
r,0.25,7.25
50,0.25,7.5
54,0.25,7.5
36,0.25,7.5
45,0.25,7.5
r,0.25,7.75
55,5/3,8.0
50,5/3,8.0
43,0.25,8.0
35,0.25,8.0
r,0.25,8.25
35,0.25,8.5
43,0.25,8.5
r,0.25,8.75
43,0.25,9.0
35,0.25,9.0
r,0.25,9.25
43,0.25,9.5
35,0.25,9.5
59,0.25,9.5
r,1/12,29/3
57,0.25,9.75
35,0.25,9.75
r,0.25,9.75
55,0.5,10.0
43,0.25,10.0
r,1.75,10.25
43,0.25,10.5
35,0.25,10.5
r,0.25,10.75
35,0.25,11.0
43,0.25,11.0
r,0.25,11.25
43,0.25,11.5
35,0.25,11.5
85,0.25,11.75
43,0.25,11.75
35,0.25,11.75
86,1.5,12.0
r,0.5,12.0
43,0.25,12.5
35,0.25,12.5
r,0.25,12.75
35,0.25,13.0
43,0.25,13.0
84,0.25,13.25
83,0.25,13.5
43,0.25,13.5
35,0.25,13.5
r,0.5,13.5
81,0.25,13.75
43,0.25,13.75
35,0.25,14.0
43,0.25,14.0
79,0.5,14.0
r,0.25,14.25
35,0.25,14.5
43,0.25,14.5
r,1.5,14.5
r,0.25,14.75
35,0.25,15.0
43,0.25,15.0
r,0.25,15.25
43,0.25,15.5
35,0.25,15.5
r,0.25,15.75
34,0.25,16.0
41,0.25,16.0
50,0.25,16.0
46,0.25,16.0
r,0.25,16.25
50,0.25,16.5
46,0.25,16.5
41,0.25,16.5
34,0.25,16.5
r,0.25,16.75
46,0.25,17.0
50,0.25,17.0
34,0.25,17.0
41,0.25,17.0
r,0.25,17.25
41,0.25,17.5
34,0.25,17.5
46,0.25,17.5
50,0.25,17.5
r,0.25,17.75
41,0.25,18.0
50,0.25,18.0
46,0.25,18.0
34,0.25,18.0
r,0.25,18.25
50,0.25,18.5
46,0.25,18.5
41,0.25,18.5
34,0.25,18.5
r,0.25,18.75
50,0.25,19.0
46,0.25,19.0
41,0.25,19.0
34,0.25,19.0
r,0.25,19.25
50,0.25,19.5
46,0.25,19.5
41,0.25,19.5
34,0.25,19.5
r,0.25,19.75
50,0.25,20.0
41,0.25,20.0
34,0.25,20.0
46,0.25,20.0
r,0.25,20.25
41,0.25,20.5
50,0.25,20.5
46,0.25,20.5
34,0.25,20.5
r,0.25,20.75
46,0.25,21.0
50,0.25,21.0
34,0.25,21.0
41,0.25,21.0
r,0.25,21.25
50,0.25,21.5
34,0.25,21.5
41,0.25,21.5
46,0.25,21.5
r,0.25,21.75
46,0.25,22.0
50,0.25,22.0
41,0.25,22.0
34,0.25,22.0
r,0.25,22.25
34,0.25,22.5
41,0.25,22.5
50,0.25,22.5
46,0.25,22.5
r,0.25,22.75
52,0.25,23.0
48,0.25,23.0
43,0.25,23.0
34,0.25,23.0
r,0.25,23.25
48,0.25,23.5
34,0.25,23.5
52,0.25,23.5
43,0.25,23.5
r,0.25,23.75
53,5/3,24.0
53,5/3,24.0
41,0.25,24.0
33,0.25,24.0
48,1.75,24.0
r,0.25,24.25
41,0.25,24.5
33,0.25,24.5
r,0.25,24.75
33,0.25,25.0
41,0.25,25.0
r,0.25,25.25
41,0.25,25.5
33,0.25,25.5
57,0.25,25.5
r,1/12,77/3
55,0.25,25.75
33,0.25,25.75
41,0.25,25.75
r,2.25,25.75
r,2.25,25.75
53,0.25,26.0
r,0.25,26.25
33,0.25,26.5
41,0.25,26.5
r,0.25,26.75
33,0.25,27.0
41,0.25,27.0
r,0.25,27.25
33,0.25,27.5
41,0.25,27.5
83,0.25,27.75
84,5/3,28.0
41,0.25,28.0
33,0.25,28.0
r,0.25,28.25
33,0.25,28.5
41,0.25,28.5
r,0.25,28.75
41,0.25,29.0
33,0.25,29.0
r,0.25,29.25
82,0.25,29.5
41,0.25,29.5
33,0.25,29.5
80,0.25,29.5
r,1/12,89/3
79,0.25,29.75
33,0.25,29.75
41,0.25,29.75
77,0.25,29.75
r,2.25,29.75
r,0.5,30.0
41,0.25,30.5
33,0.25,30.5
r,0.25,30.75
41,0.25,31.0
33,0.25,31.0
r,0.25,31.25
41,0.25,31.5
33,0.25,31.5
88,0.25,31.75
41,0.25,31.75
31,0.25,31.75
89,2.75,32.0
r,0.5,32.0
41,0.25,32.5
31,0.25,32.5
r,0.25,32.75
41,0.25,33.0
31,0.25,33.0
r,0.25,33.25
41,0.25,33.5
31,0.25,33.5
r,0.25,33.75
31,0.25,34.0
41,0.25,34.0
r,0.25,34.25
41,0.25,34.5
31,0.25,34.5
r,0.25,34.75
r,0.5,34.75
41,1/3,35.0
32,1/3,35.0
89,1/3,35.0
87,0.25,35.25
32,0.25,35.25
41,0.25,35.25
r,1/6,106/3
86,1/3,35.5
r,0.25,35.5
84,0.25,35.75
r,1/6,215/6
83,1/3,36.0
31,1/3,36.0
41,1/3,36.0
r,0.5,36.0
84,0.25,109/3
41,0.25,109/3
31,0.25,109/3
86,0.25,36.5
31,0.25,36.5
r,1/6,439/12
87,0.25,36.75
r,1.75,36.75
41,1/3,37.0
32,1/3,37.0
89,1/3,37.0
87,0.25,112/3
41,0.25,112/3
32,0.25,112/3
86,0.25,112/3
r,1/6,451/12
84,0.25,37.75
41,0.25,37.75
31,1/3,38.0
83,1/3,38.0
84,0.25,115/3
41,0.25,115/3
31,0.25,115/3
86,1/3,38.5
r,1/6,463/12
87,0.25,38.75
r,7/6,233/6
41,1/3,39.0
32,1/3,39.0
89,1/3,39.0
87,0.25,118/3
32,0.25,118/3
41,0.25,118/3
86,0.25,118/3
r,1/6,475/12
84,0.25,39.75
31,1.0,40.0
41,1.0,40.0
83,0.25,40.0
84,0.25,40.0
r,0.25,40.25
86,0.25,40.5
87,0.25,40.5
r,0.25,40.75
55,2.5,41.0
43,2.5,41.0
89,0.25,41.0
87,0.25,41.0
