58,1.0,0.0
61,1.0,0.0
r,1.75,0.0
58,1.0,1.0
61,1.0,1.0
66,1.0,1.0
68,0.25,1.75
65,0.25,1.75
59,0.25,1.75
68,1.0,2.0
65,1.0,2.0
59,1.0,2.0
r,2.0,2.0
61,0.5,3.0
66,0.5,3.0
70,0.5,3.0
61,0.25,3.5
64,0.25,3.5
70,0.25,3.5
r,0.25,3.75
63,1.0,4.0
66,1.0,4.0
71,0.5,4.0
73,0.25,4.5
71,0.25,4.5
70,0.25,4.75
71,0.25,4.75
65,0.75,5.0
68,0.75,5.0
75,0.75,5.0
r,1.0,5.0
73,0.25,5.75
66,1.0,6.0
71,0.25,6.0
70,0.25,6.0
75,0.25,6.25
73,0.25,6.25
73,0.25,6.5
r,1.25,6.75
70,0.75,7.0
71,0.25,7.75
73,1.0,8.0
61,1.0,9.0
66,1.0,9.0
61,1.0,10.0
65,1.0,10.0
61,1.0,11.0
66,1.0,11.0
59,3.0,12.0
61,3.0,12.0
65,3.0,12.0
71,3.0,12.0
56,1.0,15.0
61,1.0,15.0
68,1.0,15.0
58,1.0,16.0
61,1.0,16.0
70,1.0,16.0
63,1.0,17.0
75,1.0,17.0
61,1.0,18.0
73,1.0,18.0
66,1.0,19.0
78,1.0,19.0
65,1.0,20.0
77,1.0,20.0
63,1.0,21.0
75,1.0,21.0
61,1.0,22.0
73,1.0,22.0
70,0.25,23.0
71,0.25,23.25
70,0.25,23.5
66,0.25,23.75
71,0.25,24.0
73,0.25,24.25
71,0.25,24.5
68,0.25,24.75
65,1.0,25.0
r,0.5,26.0
r,0.5,26.5
71,0.25,27.0
73,0.25,27.25
71,0.25,27.5
68,0.25,27.75
73,0.25,28.0
75,0.25,28.25
73,0.25,28.5
70,0.25,28.75
66,1.0,29.0
r,0.5,30.0
r,0.5,30.5
78,1/3,31.0
77,1/3,94/3
75,1/3,95/3
73,1/3,32.0
71,1/3,97/3
70,1/3,98/3
68,1/3,33.0
66,1/3,100/3
65,1/3,101/3
63,1/3,34.0
61,1/3,103/3
60,1/3,104/3
61,1/3,35.0
63,1/3,106/3
65,1/3,107/3
61,1.0,36.0
66,1.0,36.0
61,1.0,37.0
65,1.0,37.0
68,1.0,37.0
61,1.0,38.0
66,1.0,38.0
70,1.0,38.0
r,0.5,39.0
r,0.5,39.5
61,2/3,40.0
66,2/3,40.0
70,2/3,40.0
r,1/3,122/3
r,0.5,41.0
r,0.5,41.5
63,2/3,42.0
68,2/3,42.0
71,2/3,42.0
r,1/3,128/3
r,0.5,43.0
r,0.5,43.5
61,1.0,44.0
65,1.0,44.0
68,1.0,44.0
61,1.0,45.0
66,1.0,45.0
70,1.0,45.0
61,1.0,46.0
68,1.0,46.0
71,1.0,46.0
r,0.5,47.0
r,0.5,47.5
61,2/3,48.0
68,2/3,48.0
71,2/3,48.0
r,1/3,146/3
r,0.5,49.0
r,0.5,49.5
61,2/3,50.0
65,2/3,50.0
68,2/3,50.0
73,2/3,50.0
r,1/3,152/3
r,0.5,51.0
r,0.5,51.5
61,1.0,52.0
66,1.0,52.0
70,1.0,52.0
73,0.25,53.0
75,0.25,53.25
73,0.25,53.5
70,0.25,53.75
78,2.25,54.0
77,0.25,56.25
78,0.25,56.5
77,0.25,56.5
75,0.25,56.75
77,0.75,57.0
78,0.25,57.75
80,1.0,58.0
77,1.0,59.0
74,1/3,60.0
r,0.25,60.0
83,1/3,60.25
r,1/6,181/3
82,1/3,60.5
r,1/6,727/12
74,0.25,60.75
r,1/6,365/6
74,1/3,61.0
r,0.25,61.0
83,1/3,61.25
r,1/6,184/3
82,1/3,61.5
r,1/6,739/12
74,0.25,61.75
r,1/6,371/6
74,1/3,62.0
r,0.25,62.0
83,1/3,62.25
r,1/6,187/3
82,1/3,62.5
r,1/6,751/12
74,0.25,62.75
r,1/6,377/6
74,0.25,63.0
r,1.0,63.0
83,0.25,63.25
82,0.25,63.5
74,0.25,63.75
75,1/3,64.0
75,0.75,64.0
r,0.25,64.0
83,1/3,64.25
r,1/6,193/3
82,1/3,64.5
r,2/3,775/12
75,0.25,64.75
r,1/6,389/6
77,1/3,65.0
77,0.75,65.0
83,1/3,65.25
r,1/6,196/3
82,1/3,65.5
r,2/3,787/12
77,0.25,65.75
r,1/6,395/6
78,1/3,66.0
78,1.0,66.0
83,1/3,66.25
r,1/6,199/3
82,1/3,66.5
r,1/6,799/12
78,0.25,66.75
r,1/6,401/6
87,0.25,67.0
87,1.0,67.0
r,1.0,67.0
82,0.25,67.25
78,0.25,67.5
75,0.25,67.75
84,0.5,68.0
84,0.5,68.0
r,0.25,68.0
r,1.25,68.0
78,1/3,68.25
75,1/3,68.5
r,1/6,823/12
84,0.25,68.75
r,1/6,413/6
87,1/3,69.0
87,0.75,69.0
78,1/3,69.25
r,1/6,208/3
75,1/3,69.5
r,29/12,835/12
85,0.25,69.75
85,0.25,69.75
r,1/6,419/6
84,0.5,70.0
84,0.5,70.0
r,0.25,70.0
78,1/3,70.25
75,1/3,70.5
r,1/6,847/12
84,0.25,70.75
r,1/6,425/6
87,0.25,71.0
87,0.75,71.0
78,0.25,71.25
75,0.25,71.5
85,0.25,71.75
85,0.25,71.75
r,0.25,71.75
84,0.5,72.0
84,0.5,72.0
r,0.25,72.0
r,1.25,72.0
78,1/3,72.25
75,1/3,72.5
r,1/6,871/12
84,0.25,72.75
r,1/6,437/6
87,1/3,73.0
87,0.75,73.0
78,1/3,73.25
r,1/6,220/3
75,1/3,73.5
r,5/12,883/12
87,1/3,73.75
r,1/6,443/6
80,1/3,74.0
80,1.0,74.0
r,1/6,889/12
78,1/3,74.25
r,1/6,223/3
75,1/3,74.5
r,1/6,895/12
80,1/3,74.75
r,1/6,449/6
82,0.25,75.0
82,0.75,75.0
r,11/12,901/12
78,0.25,75.25
75,0.25,75.5
82,1/3,75.75
r,0.25,75.75
84,0.5,76.0
84,0.5,76.0
r,0.25,76.0
r,1.25,76.0
78,1/3,76.25
75,1/3,76.5
r,1/6,919/12
84,0.25,76.75
r,1/6,461/6
87,1/3,77.0
87,0.75,77.0
78,1/3,77.25
r,1/6,232/3
75,1/3,77.5
r,29/12,931/12
85,0.25,77.75
85,0.25,77.75
r,1/6,467/6
84,0.5,78.0
84,0.5,78.0
r,0.25,78.0
78,1/3,78.25
75,1/3,78.5
r,1/6,943/12
84,0.25,78.75
r,1/6,473/6
87,0.25,79.0
87,0.75,79.0
78,0.25,79.25
