r,3.5,0.0,0
r,0.5,3.5,0
r,1.5,4.0,0
86,0.5,5.5,0
86,1.0,6.0,0
87,0.5,7.0,0
86,0.5,7.5,0
86,1.0,8.0,0
82,1.0,9.0,0
r,1.0,10.0,0
r,1.0,11.0,0
r,1.5,12.0,0
89,0.5,13.5,0
89,1.0,14.0,0
91,0.5,15.0,0
89,0.5,15.5,0
89,1.0,16.0,0
86,1.0,17.0,0
r,5.0,18.0,0
70,0.5,23.0,0
72,0.5,23.5,0
74,2.0,24.0,0
72,1.0,26.0,0
72,0.5,27.0,0
74,0.5,27.5,0
75,2.0,28.0,0
74,1.0,30.0,0
74,0.5,31.0,0
75,0.5,31.5,0
77,1.5,32.0,0
79,0.5,33.5,0
77,0.5,34.0,0
75,1.0,34.5,0
77,0.5,35.5,0
75,0.5,36.0,0
74,0.5,36.5,0
77,0.5,37.0,0
75,0.5,37.5,0
72,4.0,38.0,0
r,1.0,42.0,0
82,0.5,43.0,0
84,0.5,43.5,0
86,2.0,44.0,0
84,1.0,46.0,0
84,0.5,47.0,0
86,0.5,47.5,0
87,2.0,48.0,0
86,1.0,50.0,0
86,0.5,51.0,0
87,0.5,51.5,0
89,1.5,52.0,0
91,0.5,53.5,0
89,0.5,54.0,0
87,1.0,54.5,0
89,0.5,55.5,0
87,0.5,56.0,0
86,1.0,56.5,0
87,0.5,57.5,0
86,0.5,58.0,0
84,0.5,58.5,0
86,0.5,59.0,0
87,0.5,59.5,0
91,0.5,60.0,0
89,0.5,60.5,0
91,0.5,61.0,0
89,0.5,61.5,0
89,0.5,62.0,0
87,0.5,62.5,0
89,0.5,63.0,0
87,0.5,63.5,0
87,0.5,64.0,0
86,0.5,64.5,0
87,0.5,65.0,0
86,0.5,65.5,0
86,0.5,66.0,0
84,0.5,66.5,0
86,0.5,67.0,0
87,0.5,67.5,0
91,0.5,68.0,0
89,0.5,68.5,0
r,0.5,69.0,0
91,1.0,69.5,0
92,1.0,70.5,0
93,0.5,71.5,0
96,0.5,72.0,0
94,0.5,72.5,0
93,0.5,73.0,0
91,0.5,73.5,0
89,0.5,74.0,0
r,0.5,74.5,0
93,0.5,75.0,0
r,0.5,75.5,0
94,2.0,76.0,0
82,2.0,78.0,0
86,1/3,80.0,0
r,2/3,241/3,0
82,1/3,81.0,0
r,2/3,244/3,0
86,1/3,82.0,0
r,2/3,247/3,0
82,1/3,83.0,0
r,1/6,250/3,0
r,0.25,83.5,0
r,0.25,83.75,0
87,2.0,84.0,0
84,2.0,86.0,0
87,1/3,88.0,0
r,2/3,265/3,0
85,1/3,89.0,0
r,2/3,268/3,0
87,1/3,90.0,0
r,2/3,271/3,0
86,1/3,91.0,0
r,1/6,274/3,0
r,0.25,91.5,0
r,0.25,91.75,0
89,2.0,92.0,0
86,2.0,94.0,0
89,1/3,96.0,0
r,2/3,289/3,0
86,1/3,97.0,0
r,2/3,292/3,0
89,1/3,98.0,0
r,2/3,295/3,0
87,1/3,99.0,0
r,1/6,298/3,0
r,0.25,99.5,0
r,0.25,99.75,0
91,2.0,100.0,0
87,2.0,102.0,0
91,1/3,104.0,0
r,2/3,313/3,0
88,1/3,105.0,0
r,2/3,316/3,0
90,1/3,106.0,0
r,2/3,319/3,0
89,1/3,107.0,0
r,2/3,322/3,0
92,1/3,108.0,0
r,2/3,325/3,0
90,1/3,109.0,0
r,2/3,328/3,0
92,1/3,110.0,0
r,2/3,331/3,0
91,1/3,111.0,0
r,2/3,334/3,0
94,1/3,112.0,0
r,2/3,337/3,0
92,1/3,113.0,0
r,2/3,340/3,0
94,1/3,114.0,0
r,2/3,343/3,0
93,1/3,115.0,0
r,1/6,346/3,0
r,0.5,115.5,0
96,1/3,116.0,0
r,2/3,349/3,0
94,1/3,117.0,0
r,2/3,352/3,0
91,1/3,118.0,0
r,2/3,355/3,0
89,1/3,119.0,0
r,2/3,358/3,0
87,1/3,120.0,0
r,2/3,361/3,0
86,1/3,121.0,0
r,2/3,364/3,0
84,1/3,122.0,0
r,2/3,367/3,0
82,1/3,123.0,0
r,2/3,370/3,0
79,1/3,124.0,0
r,2/3,373/3,0
77,1/3,125.0,0
r,2/3,376/3,0
75,1/3,126.0,0
r,2/3,379/3,0
74,1/3,127.0,0
r,2/3,382/3,0
72,1/3,128.0,0
r,2/3,385/3,0
70,1/3,129.0,0
r,2/3,388/3,0
67,1/3,130.0,0
r,1/6,391/3,0
r,0.5,130.5,0
65,1/3,131.0,0
r,1/6,394/3,0
r,0.5,131.5,0
69,1/3,132.0,0
r,17/12,397/3,0
r,0.25,133.75,0
72,1/3,134.0,0
r,17/12,403/3,0
r,0.25,135.75,0
77,1/3,136.0,0
r,4/3,409/3,0
r,1/3,413/3,0
81,1/3,138.0,0
r,17/12,415/3,0
r,0.25,139.75,0
84,1/3,140.0,0
r,17/12,421/3,0
r,0.25,141.75,0
89,1/3,142.0,0
r,17/12,427/3,0
r,0.25,143.75,0
89,1/3,144.0,0
r,5/12,433/3,0
r,0.75,144.75,0
r,0.5,145.5,0
89,1/3,146.0,0
r,1/3,439/3,0
r,1/3,440/3,0
r,0.5,147.0,0
r,2.0,147.5,0
86,0.5,149.5,0
86,1.0,150.0,0
87,0.5,151.0,0
86,0.5,151.5,0
86,1.0,152.0,0
82,1.0,153.0,0
r,1.0,154.0,0
r,2.5,155.0,0
86,0.5,157.5,0
86,1.0,158.0,0
86,0.5,159.0,0
86,0.5,159.5,0
86,1.0,160.0,0
86,1.0,161.0,0
r,5.0,162.0,0
r,1.0,167.0,0
r,1.0,168.0,0
74,1.0,169.0,0
r,1.0,170.0,0
74,1.0,171.0,0
r,1.0,172.0,0
74,1.0,173.0,0
r,1.0,174.0,0
74,1.0,175.0,0
r,1.0,176.0,0
78,1.0,177.0,0
r,1.0,178.0,0
78,1.0,179.0,0
r,1.0,180.0,0
81,1.0,181.0,0
r,1.0,182.0,0
84,1.0,183.0,0
r,1.0,184.0,0
90,1.0,185.0,0
r,1.0,186.0,0
93,1.0,187.0,0
r,1.0,188.0,0
96,1.0,189.0,0
r,0.5,190.0,0
r,0.5,190.5,0
96,1.0,191.0,0
96,1.0,192.0,0
84,0.5,193.0,0
83,0.5,193.5,0
84,0.5,194.0,0
r,0.5,194.5,0
69,0.5,195.0,0
70,0.5,195.5,0
69,0.5,196.0,0
r,0.5,196.5,0
84,0.5,197.0,0
83,0.5,197.5,0
84,0.5,198.0,0
r,0.25,198.5,0
r,0.25,198.75,0
78,0.5,199.0,0
81,0.5,199.5,0
96,0.5,200.0,0
98,0.5,200.5,0
96,0.5,201.0,0
95,0.5,201.5,0
96,0.5,202.0,0
98,0.5,202.5,0
100,0.5,203.0,0
96,0.5,203.5,0
93,0.5,204.0,0
95,0.5,204.5,0
96,0.5,205.0,0
93,0.5,205.5,0
90,0.5,206.0,0
91,0.5,206.5,0
93,0.5,207.0,0
90,0.5,207.5,0
84,0.5,208.0,0
86,0.5,208.5,0
88,0.5,209.0,0
84,0.5,209.5,0
81,0.5,210.0,0
83,0.5,210.5,0
84,0.5,211.0,0
81,0.5,211.5,0
78,0.5,212.0,0
79,0.5,212.5,0
81,0.5,213.0,0
78,0.5,213.5,0
74,1.0,214.0,0
r,0.75,215.0,0
r,0.25,215.75,0
95,0.5,216.0,0
96,0.5,216.5,0
95,0.5,217.0,0
93,0.5,217.5,0
95,0.5,218.0,0
96,0.5,218.5,0
98,0.5,219.0,0
95,0.5,219.5,0
91,0.5,220.0,0
93,0.5,220.5,0
95,0.5,221.0,0
91,0.5,221.5,0
86,0.5,222.0,0
90,0.5,222.5,0
91,0.5,223.0,0
86,0.5,223.5,0
83,0.5,224.0,0
84,0.5,224.5,0
86,0.5,225.0,0
83,0.5,225.5,0
79,0.5,226.0,0
81,0.5,226.5,0
83,0.5,227.0,0
79,0.5,227.5,0
74,0.5,228.0,0
78,0.5,228.5,0
79,0.5,229.0,0
71,0.5,229.5,0
67,0.5,230.0,0
69,0.5,230.5,0
71,0.5,231.0,0
67,0.5,231.5,0
69,1.0,232.0,0
88,0.5,233.0,0
86,0.5,233.5,0
88,0.5,234.0,0
86,0.5,234.5,0
84,0.5,235.0,0
88,0.5,235.5,0
84,0.5,236.0,0
83,0.5,236.5,0
81,0.5,237.0,0
84,0.5,237.5,0
81,0.5,238.0,0
79,0.5,238.5,0
78,0.5,239.0,0
81,0.5,239.5,0
76,0.5,240.0,0
74,0.5,240.5,0
72,0.5,241.0,0
76,0.5,241.5,0
72,0.5,242.0,0
71,0.5,242.5,0
69,0.5,243.0,0
72,0.5,243.5,0
69,0.5,244.0,0
67,0.5,244.5,0
66,0.5,245.0,0
69,0.5,245.5,0
